instrument,family,note,midi,octave,length,dynamic,technique,duration_s,sample_rate,channels,bitrate,bytes,folder_note,path,filename
bassoon,woodwind,As1,34,1,025,fortissimo,normal,0.3396,44100,1,64000,4821,As1,bassoon/As1/bassoon_As1_025_fortissimo_normal.mp3,bassoon_As1_025_fortissimo_normal.mp3
bassoon,woodwind,As1,34,1,025,mezzo-piano,normal,0.3396,44100,1,64000,4820,As1,bassoon/As1/bassoon_As1_025_mezzo-piano_normal.mp3,bassoon_As1_025_mezzo-piano_normal.mp3
bassoon,woodwind,As1,34,1,025,piano,normal,0.2612,44100,1,64000,4192,As1,bassoon/As1/bassoon_As1_025_piano_normal.mp3,bassoon_As1_025_piano_normal.mp3
bassoon,woodwind,As1,34,1,05,forte,normal,0.6793,44100,1,64000,7537,As1,bassoon/As1/bassoon_As1_05_forte_normal.mp3,bassoon_As1_05_forte_normal.mp3
bassoon,woodwind,As1,34,1,05,fortissimo,normal,0.5747,44100,1,64000,6702,As1,bassoon/As1/bassoon_As1_05_fortissimo_normal.mp3,bassoon_As1_05_fortissimo_normal.mp3
bassoon,woodwind,As1,34,1,05,mezzo-piano,normal,0.4441,44100,1,64000,5656,As1,bassoon/As1/bassoon_As1_05_mezzo-piano_normal.mp3,bassoon_As1_05_mezzo-piano_normal.mp3
bassoon,woodwind,As1,34,1,05,piano,normal,0.5747,44100,1,64000,6700,As1,bassoon/As1/bassoon_As1_05_piano_normal.mp3,bassoon_As1_05_piano_normal.mp3
bassoon,woodwind,As1,34,1,15,forte,normal,1.1495,44100,1,64000,11299,As1,bassoon/As1/bassoon_As1_15_forte_normal.mp3,bassoon_As1_15_forte_normal.mp3
bassoon,woodwind,As1,34,1,15,fortissimo,normal,1.3322,44100,1,64000,12762,As1,bassoon/As1/bassoon_As1_15_fortissimo_normal.mp3,bassoon_As1_15_fortissimo_normal.mp3
bassoon,woodwind,As1,34,1,15,mezzo-piano,normal,1.3584,44100,1,64000,12970,As1,bassoon/As1/bassoon_As1_15_mezzo-piano_normal.mp3,bassoon_As1_15_mezzo-piano_normal.mp3
bassoon,woodwind,As1,34,1,15,piano,normal,1.1756,44100,1,64000,11507,As1,bassoon/As1/bassoon_As1_15_piano_normal.mp3,bassoon_As1_15_piano_normal.mp3
bassoon,woodwind,As1,34,1,1,forte,normal,1.3845,44100,1,64000,13179,As1,bassoon/As1/bassoon_As1_1_forte_normal.mp3,bassoon_As1_1_forte_normal.mp3
bassoon,woodwind,As1,34,1,1,fortissimo,normal,1.489,44100,1,64000,14016,As1,bassoon/As1/bassoon_As1_1_fortissimo_normal.mp3,bassoon_As1_1_fortissimo_normal.mp3
bassoon,woodwind,As1,34,1,1,mezzo-forte,normal,0.9144,44100,1,64000,9419,As1,bassoon/As1/bassoon_As1_1_mezzo-forte_normal.mp3,bassoon_As1_1_mezzo-forte_normal.mp3
bassoon,woodwind,As1,34,1,1,mezzo-piano,normal,1.2279,44100,1,64000,11926,As1,bassoon/As1/bassoon_As1_1_mezzo-piano_normal.mp3,bassoon_As1_1_mezzo-piano_normal.mp3
bassoon,woodwind,As1,34,1,1,piano,normal,1.045,44100,1,64000,10462,As1,bassoon/As1/bassoon_As1_1_piano_normal.mp3,bassoon_As1_1_piano_normal.mp3
bassoon,woodwind,As1,34,1,phrase,forte,fluttertonguing,6.8964,44100,1,64000,57275,As1,bassoon/As1/bassoon_As1_phrase_forte_fluttertonguing.mp3,bassoon_As1_phrase_forte_fluttertonguing.mp3
bassoon,woodwind,As1,34,1,phrase,mezzo-forte,legato,7.445,44100,1,64000,61664,As1,bassoon/As1/bassoon_As1_phrase_mezzo-forte_legato.mp3,bassoon_As1_phrase_mezzo-forte_legato.mp3
bassoon,woodwind,As1,34,1,phrase,mezzo-forte,staccatissimo,7.7584,44100,1,64000,64171,As1,bassoon/As1/bassoon_As1_phrase_mezzo-forte_staccatissimo.mp3,bassoon_As1_phrase_mezzo-forte_staccatissimo.mp3
bassoon,woodwind,As1,34,1,phrase,mezzo-forte,staccato,7.0531,44100,1,64000,58529,As1,bassoon/As1/bassoon_As1_phrase_mezzo-forte_staccato.mp3,bassoon_As1_phrase_mezzo-forte_staccato.mp3
bassoon,woodwind,As1,34,1,phrase,mezzo-forte,tenuto,7.4711,44100,1,64000,61873,As1,bassoon/As1/bassoon_As1_phrase_mezzo-forte_tenuto.mp3,bassoon_As1_phrase_mezzo-forte_tenuto.mp3
bassoon,woodwind,As1,34,1,very-long,cresc-decresc,normal,5.747,44100,1,64000,48080,As1,bassoon/As1/bassoon_As1_very-long_cresc-decresc_normal.mp3,bassoon_As1_very-long_cresc-decresc_normal.mp3
bassoon,woodwind,B1,35,1,025,forte,normal,0.3135,44100,1,64000,4611,B1,bassoon/B1/bassoon_B1_025_forte_normal.mp3,bassoon_B1_025_forte_normal.mp3
bassoon,woodwind,B1,35,1,025,fortissimo,normal,0.3135,44100,1,64000,4612,B1,bassoon/B1/bassoon_B1_025_fortissimo_normal.mp3,bassoon_B1_025_fortissimo_normal.mp3
bassoon,woodwind,B1,35,1,025,mezzo-piano,normal,0.3396,44100,1,64000,4820,B1,bassoon/B1/bassoon_B1_025_mezzo-piano_normal.mp3,bassoon_B1_025_mezzo-piano_normal.mp3
bassoon,woodwind,B1,35,1,025,piano,normal,0.2612,44100,1,64000,4192,B1,bassoon/B1/bassoon_B1_025_piano_normal.mp3,bassoon_B1_025_piano_normal.mp3
bassoon,woodwind,B1,35,1,05,forte,normal,0.5486,44100,1,64000,6492,B1,bassoon/B1/bassoon_B1_05_forte_normal.mp3,bassoon_B1_05_forte_normal.mp3
bassoon,woodwind,B1,35,1,05,fortissimo,normal,0.6009,44100,1,64000,6911,B1,bassoon/B1/bassoon_B1_05_fortissimo_normal.mp3,bassoon_B1_05_fortissimo_normal.mp3
bassoon,woodwind,B1,35,1,05,mezzo-piano,normal,0.5747,44100,1,64000,6701,B1,bassoon/B1/bassoon_B1_05_mezzo-piano_normal.mp3,bassoon_B1_05_mezzo-piano_normal.mp3
bassoon,woodwind,B1,35,1,05,piano,normal,0.4703,44100,1,64000,5864,B1,bassoon/B1/bassoon_B1_05_piano_normal.mp3,bassoon_B1_05_piano_normal.mp3
bassoon,woodwind,B1,35,1,15,forte,normal,1.2279,44100,1,64000,11926,B1,bassoon/B1/bassoon_B1_15_forte_normal.mp3,bassoon_B1_15_forte_normal.mp3
bassoon,woodwind,B1,35,1,15,fortissimo,normal,1.2539,44100,1,64000,12135,B1,bassoon/B1/bassoon_B1_15_fortissimo_normal.mp3,bassoon_B1_15_fortissimo_normal.mp3
bassoon,woodwind,B1,35,1,15,mezzo-piano,normal,1.2539,44100,1,64000,12134,B1,bassoon/B1/bassoon_B1_15_mezzo-piano_normal.mp3,bassoon_B1_15_mezzo-piano_normal.mp3
bassoon,woodwind,B1,35,1,15,piano,normal,1.2279,44100,1,64000,11925,B1,bassoon/B1/bassoon_B1_15_piano_normal.mp3,bassoon_B1_15_piano_normal.mp3
bassoon,woodwind,B1,35,1,1,forte,normal,1.3845,44100,1,64000,13179,B1,bassoon/B1/bassoon_B1_1_forte_normal.mp3,bassoon_B1_1_forte_normal.mp3
bassoon,woodwind,B1,35,1,1,fortissimo,normal,1.5413,44100,1,64000,14434,B1,bassoon/B1/bassoon_B1_1_fortissimo_normal.mp3,bassoon_B1_1_fortissimo_normal.mp3
bassoon,woodwind,B1,35,1,1,mezzo-piano,normal,1.1234,44100,1,64000,11090,B1,bassoon/B1/bassoon_B1_1_mezzo-piano_normal.mp3,bassoon_B1_1_mezzo-piano_normal.mp3
bassoon,woodwind,B1,35,1,1,piano,normal,1.0711,44100,1,64000,10671,B1,bassoon/B1/bassoon_B1_1_piano_normal.mp3,bassoon_B1_1_piano_normal.mp3
bassoon,woodwind,C2,36,2,025,forte,normal,0.3135,44100,1,64000,4611,C2,bassoon/C2/bassoon_C2_025_forte_normal.mp3,bassoon_C2_025_forte_normal.mp3
bassoon,woodwind,C2,36,2,025,fortissimo,normal,0.3658,44100,1,64000,5030,C2,bassoon/C2/bassoon_C2_025_fortissimo_normal.mp3,bassoon_C2_025_fortissimo_normal.mp3
bassoon,woodwind,C2,36,2,025,mezzo-piano,normal,0.3135,44100,1,64000,4611,C2,bassoon/C2/bassoon_C2_025_mezzo-piano_normal.mp3,bassoon_C2_025_mezzo-piano_normal.mp3
bassoon,woodwind,C2,36,2,025,piano,normal,0.2874,44100,1,64000,4401,C2,bassoon/C2/bassoon_C2_025_piano_normal.mp3,bassoon_C2_025_piano_normal.mp3
bassoon,woodwind,C2,36,2,05,forte,normal,1.3322,44100,1,64000,12761,C2,bassoon/C2/bassoon_C2_05_forte_normal.mp3,bassoon_C2_05_forte_normal.mp3
bassoon,woodwind,C2,36,2,05,fortissimo,normal,0.6009,44100,1,64000,6911,C2,bassoon/C2/bassoon_C2_05_fortissimo_normal.mp3,bassoon_C2_05_fortissimo_normal.mp3
bassoon,woodwind,C2,36,2,05,mezzo-piano,normal,0.4703,44100,1,64000,5865,C2,bassoon/C2/bassoon_C2_05_mezzo-piano_normal.mp3,bassoon_C2_05_mezzo-piano_normal.mp3
bassoon,woodwind,C2,36,2,05,piano,normal,0.3135,44100,1,64000,4610,C2,bassoon/C2/bassoon_C2_05_piano_normal.mp3,bassoon_C2_05_piano_normal.mp3
bassoon,woodwind,C2,36,2,15,forte,normal,0.4703,44100,1,64000,5865,C2,bassoon/C2/bassoon_C2_15_forte_normal.mp3,bassoon_C2_15_forte_normal.mp3
bassoon,woodwind,C2,36,2,15,fortissimo,normal,1.3584,44100,1,64000,12971,C2,bassoon/C2/bassoon_C2_15_fortissimo_normal.mp3,bassoon_C2_15_fortissimo_normal.mp3
bassoon,woodwind,C2,36,2,15,mezzo-piano,normal,1.28,44100,1,64000,12343,C2,bassoon/C2/bassoon_C2_15_mezzo-piano_normal.mp3,bassoon_C2_15_mezzo-piano_normal.mp3
bassoon,woodwind,C2,36,2,15,piano,normal,1.2539,44100,1,64000,12133,C2,bassoon/C2/bassoon_C2_15_piano_normal.mp3,bassoon_C2_15_piano_normal.mp3
bassoon,woodwind,C2,36,2,1,forte,normal,1.2279,44100,1,64000,11926,C2,bassoon/C2/bassoon_C2_1_forte_normal.mp3,bassoon_C2_1_forte_normal.mp3
bassoon,woodwind,C2,36,2,1,fortissimo,normal,1.4629,44100,1,64000,13807,C2,bassoon/C2/bassoon_C2_1_fortissimo_normal.mp3,bassoon_C2_1_fortissimo_normal.mp3
bassoon,woodwind,C2,36,2,1,mezzo-piano,normal,1.28,44100,1,64000,12343,C2,bassoon/C2/bassoon_C2_1_mezzo-piano_normal.mp3,bassoon_C2_1_mezzo-piano_normal.mp3
bassoon,woodwind,C2,36,2,1,piano,normal,1.1495,44100,1,64000,11298,C2,bassoon/C2/bassoon_C2_1_piano_normal.mp3,bassoon_C2_1_piano_normal.mp3
