noise_type,snr_db,replicate,condition,accuracy,macro_f1,macro_f1_drop,macro_f1_retention
clean,,,clean,0.9928286852589642,0.9916803807208779,0.0,1.0
white,60.0,0.0,white_60_r0,0.9928286852589642,0.9913182294175398,0.00036215130333816514,0.9996348104587136
white,60.0,1.0,white_60_r1,0.9920318725099602,0.9904432070098995,0.001237173710978423,0.9987524471240632
white,50.0,0.0,white_50_r0,0.9864541832669322,0.984150565192048,0.0075298155288299196,0.9924070137160964
white,50.0,1.0,white_50_r1,0.9864541832669322,0.983997301734552,0.00768307898632592,0.9922524644676938
white,40.0,0.0,white_40_r0,0.9657370517928286,0.9632667332975543,0.02841364742332364,0.9713479786676136
white,40.0,1.0,white_40_r1,0.9633466135458167,0.9605721825157104,0.031108198205167525,0.9686308221782565
white,30.0,0.0,white_30_r0,0.899601593625498,0.8922623150473982,0.09941806567347977,0.8997478748130419
white,30.0,1.0,white_30_r1,0.896414342629482,0.8899785807849482,0.10170179993592976,0.8974449813537704
white,20.0,0.0,white_20_r0,0.7896414342629482,0.7600119013881934,0.23166847933268453,0.7663879574139818
white,20.0,1.0,white_20_r1,0.7896414342629482,0.7627410376972495,0.2289393430236284,0.7691399895829274
white,10.0,0.0,white_10_r0,0.6199203187250996,0.5812122504306864,0.4104681302901916,0.5860882817992106
white,10.0,1.0,white_10_r1,0.6262948207171315,0.5870924334801758,0.40458794724070213,0.5920177961506138
white,0.0,0.0,white_0_r0,0.3529880478087649,0.3004264104993036,0.6912539702215743,0.3029468126423111
white,0.0,1.0,white_0_r1,0.3601593625498008,0.3039967215329461,0.6876836591879318,0.3065470765005587
white,-10.0,0.0,white_-10_r0,0.1952191235059761,0.128123804326294,0.8635565763945839,0.12919868822367697
white,-10.0,1.0,white_-10_r1,0.1888446215139442,0.12047129849907619,0.8712090822218017,0.12148198234142991
natural,60.0,0.0,natural_60_r0,0.9936254980079682,0.992546224090402,-0.0008658433695241108,1.0008731072897648
natural,60.0,1.0,natural_60_r1,0.9928286852589642,0.991836989501945,-0.0001566087810670469,1.0001579226372848
natural,50.0,0.0,natural_50_r0,0.9912350597609562,0.9899723975939279,0.0017079831269500856,0.9982776878920318
natural,50.0,1.0,natural_50_r1,0.9888446215139443,0.9873666689875956,0.004313711733282322,0.995650098744369
natural,40.0,0.0,natural_40_r0,0.9800796812749004,0.9789393689259134,0.012741011794964563,0.9871520985564898
natural,40.0,1.0,natural_40_r1,0.9713147410358566,0.9699209434173607,0.02175943730351726,0.9780580137244423
natural,30.0,0.0,natural_30_r0,0.9235059760956176,0.925581727585859,0.06609865313501895,0.9333468177650442
natural,30.0,1.0,natural_30_r1,0.9195219123505977,0.921974183251101,0.06970619746977691,0.9297090082400282
natural,20.0,0.0,natural_20_r0,0.8127490039840638,0.8153044356230574,0.1763759450978205,0.822144363721698
natural,20.0,1.0,natural_20_r1,0.8151394422310757,0.822796054945409,0.16888432577546897,0.8296988333552564
natural,10.0,0.0,natural_10_r0,0.6741035856573705,0.6778891554202467,0.3137912253006312,0.6835762495648766
natural,10.0,1.0,natural_10_r1,0.6573705179282868,0.6646257475280087,0.3270546331928692,0.6702015694259024
natural,0.0,0.0,natural_0_r0,0.5266932270916335,0.5210976590689145,0.47058272165196346,0.5254693641212456
natural,0.0,1.0,natural_0_r1,0.5099601593625498,0.5025129199615735,0.4891674607593044,0.5067287099057904
natural,-10.0,0.0,natural_-10_r0,0.36175298804780875,0.33864757939857176,0.6530328013223061,0.34148863482849195
natural,-10.0,1.0,natural_-10_r1,0.3450199203187251,0.3225564537502246,0.6691239269706533,0.3252625140327472
mechanical,60.0,0.0,mechanical_60_r0,0.9920318725099602,0.9906175288497772,0.0010628518711007784,0.9989282314223781
mechanical,60.0,1.0,mechanical_60_r1,0.9912350597609562,0.9901431724962549,0.001537208224622999,0.9984498954960613
mechanical,50.0,0.0,mechanical_50_r0,0.9912350597609562,0.9897969233670941,0.0018834573537838128,0.9981007415389073
mechanical,50.0,1.0,mechanical_50_r1,0.9896414342629483,0.9885527504135624,0.0031276303073155542,0.9968461307008595
mechanical,40.0,0.0,mechanical_40_r0,0.9752988047808765,0.9750447280757314,0.016635652645146548,0.9832247839439421
mechanical,40.0,1.0,mechanical_40_r1,0.9784860557768924,0.9783296572698775,0.013350723451000412,0.9865372717757153
mechanical,30.0,0.0,mechanical_30_r0,0.9227091633466136,0.9248204697918112,0.06685991092906673,0.9325791734626588
mechanical,30.0,1.0,mechanical_30_r1,0.9195219123505977,0.9216997733014344,0.06998060741944356,0.929432296151132
mechanical,20.0,0.0,mechanical_20_r0,0.8079681274900399,0.8143966517039066,0.17728372901697131,0.8212289640255873
mechanical,20.0,1.0,mechanical_20_r1,0.798406374501992,0.8092439530460279,0.18243642767485002,0.8160330372350089
mechanical,10.0,0.0,mechanical_10_r0,0.6796812749003984,0.6938580394443347,0.2978223412765433,0.6996791032005205
mechanical,10.0,1.0,mechanical_10_r1,0.6541832669322709,0.6690548461263521,0.3226255345945258,0.6746678255750094
mechanical,0.0,0.0,mechanical_0_r0,0.5274900398406375,0.5288102360447003,0.4628701446761776,0.5332466451139173
mechanical,0.0,1.0,mechanical_0_r1,0.4964143426294821,0.4954793830269648,0.4962009976939131,0.49963616570369995
mechanical,-10.0,0.0,mechanical_-10_r0,0.3649402390438247,0.35449437173359394,0.6371860089872841,0.3574683724970972
mechanical,-10.0,1.0,mechanical_-10_r1,0.3450199203187251,0.33397439450898947,0.6577059862118885,0.3367762446467025
