noise_type,snr_db,replicate,condition,accuracy,macro_f1,macro_f1_drop,macro_f1_retention
clean,,,clean,0.9912350597609562,0.9908280258333598,0.0,1.0
white,50.0,0.0,white_50_r0,0.9832669322709163,0.9816341889188558,0.009193836914504039,0.9907210568587104
white,50.0,1.0,white_50_r1,0.9832669322709163,0.9817158440008554,0.009112181832504396,0.9908034678118431
white,40.0,0.0,white_40_r0,0.9529880478087649,0.9491899567131838,0.04163806912017598,0.9579764923532968
white,40.0,1.0,white_40_r1,0.951394422310757,0.9477626197833727,0.0430654060499871,0.9565359427396436
white,30.0,0.0,white_30_r0,0.8749003984063745,0.8603591652494639,0.13046886058389595,0.8683234050892313
white,30.0,1.0,white_30_r1,0.8796812749003984,0.8661725510514667,0.1246554747818931,0.8741906046944438
white,20.0,0.0,white_20_r0,0.7458167330677291,0.712340430777694,0.2784875950556658,0.7189344792488715
white,20.0,1.0,white_20_r1,0.754581673306773,0.7200198678730835,0.27080815796027635,0.7266850039566588
white,10.0,0.0,white_10_r0,0.5051792828685259,0.44511127914512194,0.5457167466882379,0.44923161995821664
white,10.0,1.0,white_10_r1,0.5258964143426295,0.46916372609126294,0.5216642997420968,0.47350671747164347
white,0.0,0.0,white_0_r0,0.3394422310756972,0.24168751021083726,0.7491405156225226,0.24392478201003664
white,0.0,1.0,white_0_r1,0.34741035856573704,0.25325720365879373,0.737570822174566,0.25560157469888445
white,-5.0,0.0,white_-5_r0,0.2788844621513944,0.17709117440672908,0.8137368514266308,0.17873048580532658
white,-5.0,1.0,white_-5_r1,0.2804780876494024,0.17536989050784976,0.81545813532551,0.17699326819137023
white,-10.0,0.0,white_-10_r0,0.21195219123505976,0.11805526640233634,0.8727727594310235,0.11914808960217199
white,-10.0,1.0,white_-10_r1,0.21195219123505976,0.11526667846691192,0.8755613473664479,0.11633368804840184
audience,50.0,0.0,audience_50_r0,0.9904382470119522,0.990012518078303,0.000815507755056788,0.9991769431891363
audience,50.0,1.0,audience_50_r1,0.9896414342629483,0.9888788551024481,0.00194917073091172,0.9980327860334064
audience,40.0,0.0,audience_40_r0,0.9824701195219123,0.9827900519404782,0.008037973892881634,0.9918876195633232
audience,40.0,1.0,audience_40_r1,0.9824701195219123,0.9811383715475298,0.009689654285830018,0.9902206497664614
audience,30.0,0.0,audience_30_r0,0.9386454183266932,0.9384809893861368,0.05234703644722305,0.947168393422062
audience,30.0,1.0,audience_30_r1,0.9418326693227091,0.9400803318294488,0.05074769400391099,0.9487825407832723
audience,20.0,0.0,audience_20_r0,0.847011952191235,0.8421870282797644,0.1486409975535954,0.8499830508643745
audience,20.0,1.0,audience_20_r1,0.850996015936255,0.8485069986380367,0.14232102719532314,0.8563615244172967
audience,10.0,0.0,audience_10_r0,0.7083665338645418,0.6921000149421697,0.29872801089119017,0.6985067003530328
audience,10.0,1.0,audience_10_r1,0.7187250996015936,0.7138337306243594,0.27699429520900043,0.7204416023900538
audience,0.0,0.0,audience_0_r0,0.5609561752988048,0.545992650868297,0.44483537496506287,0.5510468382331805
audience,0.0,1.0,audience_0_r1,0.5561752988047809,0.549793811873404,0.4410342139599558,0.5548831861220181
audience,-5.0,0.0,audience_-5_r0,0.47410358565737054,0.4590909708078374,0.5317370550255225,0.4633407199213081
audience,-5.0,1.0,audience_-5_r1,0.47729083665338645,0.47548145992577906,0.5153465659075808,0.47988293379758196
audience,-10.0,0.0,audience_-10_r0,0.37609561752988047,0.36004003439502785,0.630787991438332,0.36337288107308785
audience,-10.0,1.0,audience_-10_r1,0.3752988047808765,0.37152669389383125,0.6193013319395286,0.37496587117764435
studio,50.0,0.0,studio_50_r0,0.9912350597609562,0.9908280258333598,0.0,1.0
studio,50.0,1.0,studio_50_r1,0.9904382470119522,0.989946159937202,0.0008818658961577963,0.9991099707788179
studio,40.0,0.0,studio_40_r0,0.9816733067729083,0.9807994656480573,0.010028560185302515,0.9898786066564198
studio,40.0,1.0,studio_40_r1,0.9848605577689243,0.9838323735099671,0.00699565232339272,0.9929395897764308
studio,30.0,0.0,studio_30_r0,0.9434262948207172,0.9414268441047389,0.04940118172862096,0.9501415175584371
studio,30.0,1.0,studio_30_r1,0.9410358565737051,0.9398501161073698,0.050977909725990034,0.9485501939823373
studio,20.0,0.0,studio_20_r0,0.8278884462151395,0.828615712622455,0.1622123132109048,0.8362861071935543
studio,20.0,1.0,studio_20_r1,0.8199203187250996,0.8191627516596589,0.17166527417370092,0.8267456413242674
studio,10.0,0.0,studio_10_r0,0.6693227091633466,0.6629968773167332,0.32783114851662665,0.6691341585328127
studio,10.0,1.0,studio_10_r1,0.6446215139442231,0.6301737352909231,0.3606542905424367,0.6360071766852783
studio,0.0,0.0,studio_0_r0,0.501195219123506,0.46141146039567377,0.5294165654376861,0.4656826899981887
studio,0.0,1.0,studio_0_r1,0.48047808764940236,0.4458100230233312,0.5450180028100287,0.44993683202326856
studio,-5.0,0.0,studio_-5_r0,0.39282868525896414,0.35346613416505823,0.6373618916683016,0.35673812705062213
studio,-5.0,1.0,studio_-5_r1,0.3944223107569721,0.36397334743129,0.6268546784020699,0.36734260430831217
studio,-10.0,0.0,studio_-10_r0,0.2940239043824701,0.2576854667599144,0.7331425590734455,0.26007082969134004
studio,-10.0,1.0,studio_-10_r1,0.30677290836653387,0.27177308822553664,0.7190549376078232,0.27428885855035773
