noise_type,snr_db,replicate,condition,accuracy,macro_f1,macro_f1_drop,macro_f1_retention
clean,,,clean,0.9721115537848606,0.9707629944966524,0.0,1.0
white,50.0,0.0,white_50_r0,0.8334661354581673,0.8160820287957503,0.15468096570090206,0.8406604221856384
white,50.0,1.0,white_50_r1,0.8326693227091634,0.8150772388581667,0.15568575563848563,0.8396253704343049
white,40.0,0.0,white_40_r0,0.7450199203187251,0.6846900318099748,0.2860729626866776,0.7053112198255883
white,40.0,1.0,white_40_r1,0.7442231075697211,0.6831728348669509,0.28759015962970147,0.7037483286238996
white,30.0,0.0,white_30_r0,0.5904382470119522,0.47645069792097,0.4943122965756824,0.49080022685456104
white,30.0,1.0,white_30_r1,0.5880478087649402,0.4730913595816262,0.4976716349150262,0.48733971346623844
white,20.0,0.0,white_20_r0,0.38645418326693226,0.3235806124457076,0.6471823820509448,0.33332606854620217
white,20.0,1.0,white_20_r1,0.38725099601593627,0.3249474336657572,0.6458155608308952,0.33473405507617726
white,10.0,0.0,white_10_r0,0.2095617529880478,0.12558876749189807,0.8451742270047543,0.12937119379691306
white,10.0,1.0,white_10_r1,0.2047808764940239,0.12189561201742005,0.8488673824792323,0.12556680951834573
white,0.0,0.0,white_0_r0,0.1745019920318725,0.060786883738042675,0.9099761107586097,0.06261763590356173
white,0.0,1.0,white_0_r1,0.17290836653386454,0.059613098375863594,0.9111498961207888,0.06140849899905117
white,-5.0,0.0,white_-5_r0,0.10756972111553785,0.027200362734358798,0.9435626317622936,0.02801957108847395
white,-5.0,1.0,white_-5_r1,0.10916334661354582,0.02816852016264919,0.9425944743340032,0.029016887048990546
white,-10.0,0.0,white_-10_r0,0.09083665338645418,0.013888888888888888,0.9568741056077635,0.014307188229904023
white,-10.0,1.0,white_-10_r1,0.09083665338645418,0.013878743608473338,0.9568842508881791,0.01429673739847239
audience,50.0,0.0,audience_50_r0,0.9705179282868526,0.9691329812810654,0.0016300132155869784,0.9983208947757304
audience,50.0,1.0,audience_50_r1,0.9633466135458167,0.9616854571921077,0.009077537304544636,0.9906490694886331
audience,40.0,0.0,audience_40_r0,0.9211155378486056,0.9204130629394216,0.050349931557230776,0.9481336517330499
audience,40.0,1.0,audience_40_r1,0.9243027888446215,0.9242828151478705,0.0464801793487819,0.9521199514070041
audience,30.0,0.0,audience_30_r0,0.803187250996016,0.7937527392609045,0.17701025523574787,0.8176586290997537
audience,30.0,1.0,audience_30_r1,0.8087649402390438,0.8040420709599082,0.16672092353674417,0.8282578502869383
audience,20.0,0.0,audience_20_r0,0.650996015936255,0.6302187929143852,0.34054420158226717,0.649199440529929
audience,20.0,1.0,audience_20_r1,0.6653386454183267,0.6576450668404005,0.3131179276562519,0.6774517267022464
audience,10.0,0.0,audience_10_r0,0.49083665338645416,0.4756659623574339,0.49509703213921846,0.4899918569764499
audience,10.0,1.0,audience_10_r1,0.49083665338645416,0.493308943314466,0.47745405118218637,0.5081662013396485
audience,0.0,0.0,audience_0_r0,0.34741035856573704,0.3383577281707526,0.6324052663258998,0.34854823483067926
audience,0.0,1.0,audience_0_r1,0.36573705179282867,0.36471259770814063,0.6060503967885118,0.3756968485363894
audience,-5.0,0.0,audience_-5_r0,0.28286852589641437,0.2785110197353442,0.6922519747613082,0.286899090008838
audience,-5.0,1.0,audience_-5_r1,0.301195219123506,0.3054049017341234,0.665358092762529,0.31460294991207205
audience,-10.0,0.0,audience_-10_r0,0.23665338645418327,0.22485096130581395,0.7459120331908384,0.23162292194955453
audience,-10.0,1.0,audience_-10_r1,0.2541832669322709,0.25037195415197866,0.7203910403446737,0.2579125446389706
studio,50.0,0.0,studio_50_r0,0.9641434262948207,0.9626733244845348,0.008089670012117578,0.9916666889261553
studio,50.0,1.0,studio_50_r1,0.9665338645418327,0.9655270519547847,0.005235942541867655,0.9946063636834627
studio,40.0,0.0,studio_40_r0,0.9075697211155378,0.9058150194911199,0.06494797500553251,0.9330959509440216
studio,40.0,1.0,studio_40_r1,0.9075697211155378,0.9060795746138459,0.06468341988280646,0.9333684738195596
studio,30.0,0.0,studio_30_r0,0.7250996015936255,0.7172817615796178,0.2534812329170346,0.7388845327293646
studio,30.0,1.0,studio_30_r1,0.7147410358565737,0.706648249963658,0.2641147445329943,0.7279307657684874
studio,20.0,0.0,studio_20_r0,0.4685258964143426,0.4475156712976047,0.5232473231990477,0.46099374804624155
studio,20.0,1.0,studio_20_r1,0.47250996015936253,0.45347154194516065,0.5172914525514918,0.4671289949410246
studio,10.0,0.0,studio_10_r0,0.2557768924302789,0.22079829511473337,0.749964699381919,0.22744819937148394
studio,10.0,1.0,studio_10_r1,0.25338645418326694,0.22734386900996628,0.7434191254866861,0.23419090993249667
studio,0.0,0.0,studio_0_r0,0.1848605577689243,0.12873529835027056,0.8420276961463818,0.13261249046377252
studio,0.0,1.0,studio_0_r1,0.18167330677290836,0.11968775591325831,0.8510752385833941,0.12329245819193724
studio,-5.0,0.0,studio_-5_r0,0.16175298804780877,0.09980184110523409,0.8709611533914183,0.10280762829961608
studio,-5.0,1.0,studio_-5_r1,0.16175298804780877,0.10794327746153527,0.8628197170351171,0.1111942647932358
studio,-10.0,0.0,studio_-10_r0,0.13784860557768924,0.08590665943283386,0.8848563350638186,0.08849395776296261
studio,-10.0,1.0,studio_-10_r1,0.12828685258964143,0.08101717579409444,0.889745818702558,0.08345721484377598
