noise_type,snr_db,replicate,condition,accuracy,macro_f1,macro_f1_drop,macro_f1_retention
clean,,,clean,0.9752988047808765,0.9737992189961436,0.0,1.0
white,50.0,0.0,white_50_r0,0.846215139442231,0.8363281231461855,0.1374710958499581,0.8588301436597244
white,50.0,1.0,white_50_r1,0.8494023904382471,0.8400483184470676,0.133750900549076,0.8626504335391075
white,40.0,0.0,white_40_r0,0.7330677290836654,0.680271536197189,0.2935276827989546,0.6985747399740757
white,40.0,1.0,white_40_r1,0.7362549800796813,0.6840337966911186,0.289765422305025,0.7024382268413254
white,30.0,0.0,white_30_r0,0.5585657370517928,0.4569088166481236,0.5168904023480201,0.4692022829091353
white,30.0,1.0,white_30_r1,0.5545816733067729,0.45086336147019995,0.5229358575259437,0.46299417033316126
white,20.0,0.0,white_20_r0,0.3426294820717131,0.21137775092456926,0.7624214680715744,0.2170650240841961
white,20.0,1.0,white_20_r1,0.34183266932270917,0.21196837566064974,0.7618308433354939,0.21767154001125685
white,10.0,0.0,white_10_r0,0.22629482071713147,0.10960529657029039,0.8641939224258532,0.11255430732762216
white,10.0,1.0,white_10_r1,0.22788844621513943,0.11221440923944855,0.861584809756695,0.11523362008353893
white,0.0,0.0,white_0_r0,0.12350597609561753,0.04702967105108907,0.9267695479450546,0.04829503878589095
white,0.0,1.0,white_0_r1,0.12270916334661354,0.04581979221339214,0.9279794267827515,0.04705260727219129
white,-5.0,0.0,white_-5_r0,0.10756972111553785,0.023878115678472183,0.9499211033176714,0.024520573864381733
white,-5.0,1.0,white_-5_r1,0.10916334661354582,0.02655396174863388,0.9472452572475097,0.027268415532318308
white,-10.0,0.0,white_-10_r0,0.10278884462151394,0.015534682080924856,0.9582645369152187,0.015952654076821945
white,-10.0,1.0,white_-10_r1,0.10278884462151394,0.015534682080924856,0.9582645369152187,0.015952654076821945
audience,50.0,0.0,audience_50_r0,0.9697211155378486,0.9677704242995658,0.006028794696577799,0.9938089961678213
audience,50.0,1.0,audience_50_r1,0.9657370517928286,0.9635356534652181,0.010263565530925556,0.9894602857234719
audience,40.0,0.0,audience_40_r0,0.9179282868525896,0.9148422363454648,0.058956982650678835,0.9394567365627428
audience,40.0,1.0,audience_40_r1,0.9258964143426295,0.923947378337942,0.049851840658201585,0.9488068590673218
audience,30.0,0.0,audience_30_r0,0.802390438247012,0.7898435124500732,0.1839557065460704,0.8110948304767547
audience,30.0,1.0,audience_30_r1,0.8215139442231075,0.8169486419446387,0.15685057705150496,0.8389292433267744
audience,20.0,0.0,audience_20_r0,0.6876494023904383,0.6657977964637045,0.3080014225324391,0.683711573675375
audience,20.0,1.0,audience_20_r1,0.6741035856573705,0.66093817896185,0.3128610400342936,0.6787212046064164
audience,10.0,0.0,audience_10_r0,0.5139442231075697,0.48939794112404705,0.4844012778720966,0.502565551067653
audience,10.0,1.0,audience_10_r1,0.5123505976095617,0.4979697299942018,0.47582948900194183,0.5113679701936317
audience,0.0,0.0,audience_0_r0,0.3426294820717131,0.3280367015312622,0.6457625174648814,0.33686276917476277
audience,0.0,1.0,audience_0_r1,0.3633466135458167,0.3593018018396636,0.6144974171564801,0.3689690798992995
audience,-5.0,0.0,audience_-5_r0,0.28207171314741036,0.2662750393214534,0.7075241796746903,0.27343936422124804
audience,-5.0,1.0,audience_-5_r1,0.3147410358565737,0.31617456976391767,0.657624649232226,0.32468147806675307
audience,-10.0,0.0,audience_-10_r0,0.2446215139442231,0.22895026391110984,0.7448489550850338,0.2351103383992512
audience,-10.0,1.0,audience_-10_r1,0.25816733067729086,0.2533867961783347,0.7204124228178089,0.26020435345957915
studio,50.0,0.0,studio_50_r0,0.9689243027888447,0.967437855366733,0.0063613636294106435,0.9934674792243432
studio,50.0,1.0,studio_50_r1,0.9673306772908367,0.9661684210014757,0.007630797994667926,0.9921638897980076
studio,40.0,0.0,studio_40_r0,0.9163346613545816,0.9147166866014284,0.05908253239471528,0.9393278088109154
studio,40.0,1.0,studio_40_r1,0.9147410358565737,0.911884518151102,0.06191470084504158,0.9364194387947165
studio,30.0,0.0,studio_30_r0,0.7298804780876494,0.7257051070064202,0.24809411198972342,0.7452307342724354
studio,30.0,1.0,studio_30_r1,0.7211155378486056,0.7122849252182829,0.26151429377786073,0.7314494726670177
studio,20.0,0.0,studio_20_r0,0.5043824701195219,0.4940002318204004,0.4797989871757432,0.5072916697649936
studio,20.0,1.0,studio_20_r1,0.48844621513944225,0.4791809325570631,0.4946182864390805,0.4920736464042705
studio,10.0,0.0,studio_10_r0,0.28286852589641437,0.25334513810564585,0.7204540808904978,0.2601615745459425
studio,10.0,1.0,studio_10_r1,0.28286852589641437,0.2664400079947036,0.7073592110014401,0.2736087714974422
studio,0.0,0.0,studio_0_r0,0.18087649402390438,0.12820584133059013,0.8455933776655535,0.1316553133640353
studio,0.0,1.0,studio_0_r1,0.1752988047808765,0.11732280692609952,0.8564764120700441,0.12047946295032316
studio,-5.0,0.0,studio_-5_r0,0.15458167330677292,0.08731930348373247,0.8864799155124111,0.08966869327924391
studio,-5.0,1.0,studio_-5_r1,0.13545816733067728,0.0766515954576069,0.8971476235385367,0.07871396275776892
studio,-10.0,0.0,studio_-10_r0,0.12908366533864543,0.05847518022440623,0.9153240387717374,0.06004849776392951
studio,-10.0,1.0,studio_-10_r1,0.13306772908366535,0.0629876097606654,0.9108116092354782,0.06468233752086716
