instrument_a,instrument_b,acoustic_distance
bassoon,cello,4.39331244493
bassoon,clarinet,5.53032620245
bassoon,double-bass,5.99181226454
bassoon,flute,7.6704511469
bassoon,french-horn,3.60258447269
bassoon,oboe,8.697000522
bassoon,trombone,4.34770641073
bassoon,trumpet,5.06334085693
bassoon,tuba,6.41524695014
bassoon,viola,8.87388884961
bassoon,violin,8.71150846728
cello,clarinet,4.70101425923
cello,double-bass,3.83470420016
cello,flute,5.77753596745
cello,french-horn,4.61407023591
cello,oboe,6.92810252051
cello,trombone,4.73140114499
cello,trumpet,4.48019561881
cello,tuba,6.30047309491
cello,viola,6.58986603297
cello,violin,6.61684347804
clarinet,double-bass,6.66345777914
clarinet,flute,7.05993105934
clarinet,french-horn,6.55873179152
clarinet,oboe,6.77226963601
clarinet,trombone,5.44136498503
clarinet,trumpet,3.91546613266
clarinet,tuba,8.53930120494
clarinet,viola,8.46901514655
clarinet,violin,7.3071930406
double-bass,flute,6.36858523251
double-bass,french-horn,5.77672340022
double-bass,oboe,8.03152458463
double-bass,trombone,5.6319802515
double-bass,trumpet,6.33013968918
double-bass,tuba,5.57257724192
double-bass,viola,6.72155026112
double-bass,violin,7.61749478512
flute,french-horn,6.894783738
flute,oboe,4.53354508718
flute,trombone,7.73699080294
flute,trumpet,6.32164048401
flute,tuba,8.91557109286
flute,viola,3.99279729304
flute,violin,6.12296119694
french-horn,oboe,8.42732440894
french-horn,trombone,4.74971478635
french-horn,trumpet,5.55037245023
french-horn,tuba,5.47874522107
french-horn,viola,8.02396842172
french-horn,violin,8.69570359634
oboe,trombone,8.95959733614
oboe,trumpet,6.63558067768
oboe,tuba,10.2007524857
oboe,viola,5.33094024038
oboe,violin,6.53730779372
trombone,trumpet,3.98901448172
trombone,tuba,7.35173546373
trombone,viola,8.71536427926
trombone,violin,7.9620394451
trumpet,tuba,8.59014941728
trumpet,viola,7.52345424765
trumpet,violin,5.9059223881
tuba,viola,9.61997007047
tuba,violin,10.9819188489
viola,violin,5.72217638738
