model,noise_type,predictor,spearman_rho,permutation_p,degenerate,n_instruments,status
svm,white,spectral_centroid_hz,-0.482517482517,0.117038829612,False,12,exploratory; uncorrected
svm,white,spectral_bandwidth_hz,-0.552447552448,0.0666193338067,False,12,exploratory; uncorrected
svm,white,spectral_rolloff_hz,-0.517482517483,0.090179098209,False,12,exploratory; uncorrected
svm,white,spectral_contrast_db,-0.132867132867,0.683913160868,False,12,exploratory; uncorrected
svm,white,mfcc_profile_distance,0.258741258741,0.417485825142,False,12,exploratory; uncorrected
svm,audience,spectral_centroid_hz,-0.48951048951,0.112068879311,False,12,exploratory; uncorrected
svm,audience,spectral_bandwidth_hz,-0.65034965035,0.0251197488025,False,12,exploratory; uncorrected
svm,audience,spectral_rolloff_hz,-0.566433566434,0.0588794112059,False,12,exploratory; uncorrected
svm,audience,spectral_contrast_db,-0.167832167832,0.60414395856,False,12,exploratory; uncorrected
svm,audience,mfcc_profile_distance,0.72027972028,0.0112698873011,False,12,exploratory; uncorrected
svm,studio,spectral_centroid_hz,-0.244755244755,0.444005559944,False,12,exploratory; uncorrected
svm,studio,spectral_bandwidth_hz,-0.692307692308,0.0157198428016,False,12,exploratory; uncorrected
svm,studio,spectral_rolloff_hz,-0.314685314685,0.320186798132,False,12,exploratory; uncorrected
svm,studio,spectral_contrast_db,0.034965034965,0.919720802792,False,12,exploratory; uncorrected
svm,studio,mfcc_profile_distance,0.608391608392,0.040019599804,False,12,exploratory; uncorrected
cnn,white,spectral_centroid_hz,-0.195804195804,0.544184558154,False,12,exploratory; uncorrected
cnn,white,spectral_bandwidth_hz,-0.601398601399,0.0419395806042,False,12,exploratory; uncorrected
cnn,white,spectral_rolloff_hz,-0.258741258741,0.417195828042,False,12,exploratory; uncorrected
cnn,white,spectral_contrast_db,0.300699300699,0.344026559734,False,12,exploratory; uncorrected
cnn,white,mfcc_profile_distance,0.104895104895,0.749652503475,False,12,exploratory; uncorrected
cnn,audience,spectral_centroid_hz,-0.377622377622,0.228917710823,False,12,exploratory; uncorrected
cnn,audience,spectral_bandwidth_hz,-0.776223776224,0.00450995490045,False,12,exploratory; uncorrected
cnn,audience,spectral_rolloff_hz,-0.468531468531,0.129248707513,False,12,exploratory; uncorrected
cnn,audience,spectral_contrast_db,0.132867132867,0.683153168468,False,12,exploratory; uncorrected
cnn,audience,mfcc_profile_distance,0.335664335664,0.285627143729,False,12,exploratory; uncorrected
cnn,studio,spectral_centroid_hz,-0.13986013986,0.666683333167,False,12,exploratory; uncorrected
cnn,studio,spectral_bandwidth_hz,-0.755244755245,0.00645993540065,False,12,exploratory; uncorrected
cnn,studio,spectral_rolloff_hz,-0.272727272727,0.389786102139,False,12,exploratory; uncorrected
cnn,studio,spectral_contrast_db,0.237762237762,0.458015419846,False,12,exploratory; uncorrected
cnn,studio,mfcc_profile_distance,0.363636363636,0.245857541425,False,12,exploratory; uncorrected
crnn,white,spectral_centroid_hz,-0.41958041958,0.178408215918,False,12,exploratory; uncorrected
crnn,white,spectral_bandwidth_hz,-0.685314685315,0.0170298297017,False,12,exploratory; uncorrected
crnn,white,spectral_rolloff_hz,-0.468531468531,0.127138728613,False,12,exploratory; uncorrected
crnn,white,spectral_contrast_db,0.0629370629371,0.852101478985,False,12,exploratory; uncorrected
crnn,white,mfcc_profile_distance,0.118881118881,0.716092839072,False,12,exploratory; uncorrected
crnn,audience,spectral_centroid_hz,-0.398601398601,0.20147798522,False,12,exploratory; uncorrected
crnn,audience,spectral_bandwidth_hz,-0.762237762238,0.00568994310057,False,12,exploratory; uncorrected
crnn,audience,spectral_rolloff_hz,-0.468531468531,0.127918720813,False,12,exploratory; uncorrected
crnn,audience,spectral_contrast_db,0.153846153846,0.636123638764,False,12,exploratory; uncorrected
crnn,audience,mfcc_profile_distance,0.195804195804,0.542344576554,False,12,exploratory; uncorrected
crnn,studio,spectral_centroid_hz,-0.153846153846,0.635323646764,False,12,exploratory; uncorrected
crnn,studio,spectral_bandwidth_hz,-0.755244755245,0.00619993800062,False,12,exploratory; uncorrected
crnn,studio,spectral_rolloff_hz,-0.251748251748,0.430005699943,False,12,exploratory; uncorrected
crnn,studio,spectral_contrast_db,0.27972027972,0.379226207738,False,12,exploratory; uncorrected
crnn,studio,mfcc_profile_distance,0.265734265734,0.40387596124,False,12,exploratory; uncorrected
mert_ft,white,spectral_centroid_hz,0.0559440559441,0.866821331787,False,12,exploratory; uncorrected
mert_ft,white,spectral_bandwidth_hz,-0.398601398601,0.19998800012,False,12,exploratory; uncorrected
mert_ft,white,spectral_rolloff_hz,0,1,False,12,exploratory; uncorrected
mert_ft,white,spectral_contrast_db,0.41958041958,0.176418235818,False,12,exploratory; uncorrected
mert_ft,white,mfcc_profile_distance,0.104895104895,0.749792502075,False,12,exploratory; uncorrected
mert_ft,audience,spectral_centroid_hz,-0.153846153846,0.635403645964,False,12,exploratory; uncorrected
mert_ft,audience,spectral_bandwidth_hz,-0.643356643357,0.0276897231028,False,12,exploratory; uncorrected
mert_ft,audience,spectral_rolloff_hz,-0.244755244755,0.443335566644,False,12,exploratory; uncorrected
mert_ft,audience,spectral_contrast_db,0.244755244755,0.442885571144,False,12,exploratory; uncorrected
mert_ft,audience,mfcc_profile_distance,0.251748251748,0.429795702043,False,12,exploratory; uncorrected
mert_ft,studio,spectral_centroid_hz,0.0839160839161,0.79889201108,False,12,exploratory; uncorrected
mert_ft,studio,spectral_bandwidth_hz,-0.685314685315,0.0162798372016,False,12,exploratory; uncorrected
mert_ft,studio,spectral_rolloff_hz,-0.0979020979021,0.766852331477,False,12,exploratory; uncorrected
mert_ft,studio,spectral_contrast_db,0.454545454545,0.141078589214,False,12,exploratory; uncorrected
mert_ft,studio,mfcc_profile_distance,0.223776223776,0.485615143849,False,12,exploratory; uncorrected
ast,white,spectral_centroid_hz,-0.048951048951,0.886681133189,False,12,exploratory; uncorrected
ast,white,spectral_bandwidth_hz,-0.398601398601,0.20100798992,False,12,exploratory; uncorrected
ast,white,spectral_rolloff_hz,-0.125874125874,0.70051299487,False,12,exploratory; uncorrected
ast,white,spectral_contrast_db,0.454545454545,0.142098579014,False,12,exploratory; uncorrected
ast,white,mfcc_profile_distance,-0.041958041958,0.90229097709,False,12,exploratory; uncorrected
ast,audience,spectral_centroid_hz,-0.216783216783,0.49842501575,False,12,exploratory; uncorrected
ast,audience,spectral_bandwidth_hz,-0.545454545455,0.0711092889071,False,12,exploratory; uncorrected
ast,audience,spectral_rolloff_hz,-0.314685314685,0.318926810732,False,12,exploratory; uncorrected
ast,audience,spectral_contrast_db,0.223776223776,0.487565124349,False,12,exploratory; uncorrected
ast,audience,mfcc_profile_distance,0.552447552448,0.0651393486065,False,12,exploratory; uncorrected
ast,studio,spectral_centroid_hz,-0.0559440559441,0.867631323687,False,12,exploratory; uncorrected
ast,studio,spectral_bandwidth_hz,-0.503496503497,0.0989690103099,False,12,exploratory; uncorrected
ast,studio,spectral_rolloff_hz,-0.195804195804,0.544084559154,False,12,exploratory; uncorrected
ast,studio,spectral_contrast_db,0.27972027972,0.380516194838,False,12,exploratory; uncorrected
ast,studio,mfcc_profile_distance,0.475524475524,0.120198798012,False,12,exploratory; uncorrected
panns,white,spectral_centroid_hz,-0.475524475524,0.123538764612,False,12,exploratory; uncorrected
panns,white,spectral_bandwidth_hz,-0.251748251748,0.430995690043,False,12,exploratory; uncorrected
panns,white,spectral_rolloff_hz,-0.545454545455,0.0714692853071,False,12,exploratory; uncorrected
panns,white,spectral_contrast_db,-0.013986013986,0.974000259997,False,12,exploratory; uncorrected
panns,white,mfcc_profile_distance,-0.237762237762,0.456505434946,False,12,exploratory; uncorrected
panns,audience,spectral_centroid_hz,-0.356643356643,0.257657423426,False,12,exploratory; uncorrected
panns,audience,spectral_bandwidth_hz,-0.426573426573,0.168878311217,False,12,exploratory; uncorrected
panns,audience,spectral_rolloff_hz,-0.370629370629,0.238327616724,False,12,exploratory; uncorrected
panns,audience,spectral_contrast_db,0.188811188811,0.556864431356,False,12,exploratory; uncorrected
panns,audience,mfcc_profile_distance,0.0979020979021,0.766272337277,False,12,exploratory; uncorrected
panns,studio,spectral_centroid_hz,-0.258741258741,0.420205797942,False,12,exploratory; uncorrected
panns,studio,spectral_bandwidth_hz,-0.426573426573,0.168278317217,False,12,exploratory; uncorrected
panns,studio,spectral_rolloff_hz,-0.293706293706,0.356106438936,False,12,exploratory; uncorrected
panns,studio,spectral_contrast_db,0.328671328671,0.29754702453,False,12,exploratory; uncorrected
panns,studio,mfcc_profile_distance,-0.244755244755,0.444165558344,False,12,exploratory; uncorrected
