model,label,noise_type,replicate,recall_loss_auc
svm,bassoon,white,0,0.809278350515
svm,cello,white,0,0.697101449275
svm,clarinet,white,0,0.636261261261
svm,double-bass,white,0,0.848550724638
svm,flute,white,0,0.17094017094
svm,french-horn,white,0,0.719879518072
svm,oboe,white,0,0.900843881857
svm,trombone,white,0,0.508040935673
svm,trumpet,white,0,0.761538461538
svm,tuba,white,0,0.911962365591
svm,viola,white,0,0.800314465409
svm,violin,white,0,0.258397932817
svm,bassoon,white,1,0.809278350515
svm,cello,white,1,0.694202898551
svm,clarinet,white,1,0.637012012012
svm,double-bass,white,1,0.85
svm,flute,white,1,0.165598290598
svm,french-horn,white,1,0.719879518072
svm,oboe,white,1,0.901898734177
svm,trombone,white,1,0.519005847953
svm,trumpet,white,1,0.755128205128
svm,tuba,white,1,0.911290322581
svm,viola,white,1,0.803459119497
svm,violin,white,1,0.256136950904
svm,bassoon,audience,0,0.322164948454
svm,cello,audience,0,0.364130434783
svm,clarinet,audience,0,0.146396396396
svm,double-bass,audience,0,0.235869565217
svm,flute,audience,0,0.307336182336
svm,french-horn,audience,0,0.40813253012
svm,oboe,audience,0,0.559599156118
svm,trombone,audience,0,0.366593567251
svm,trumpet,audience,0,0.30641025641
svm,tuba,audience,0,0.642137096774
svm,viola,audience,0,0.205188679245
svm,violin,audience,0,0.281976744186
svm,bassoon,audience,1,0.286082474227
svm,cello,audience,1,0.357971014493
svm,clarinet,audience,1,0.134384384384
svm,double-bass,audience,1,0.186594202899
svm,flute,audience,1,0.291666666667
svm,french-horn,audience,1,0.380020080321
svm,oboe,audience,1,0.505274261603
svm,trombone,audience,1,0.368421052632
svm,trumpet,audience,1,0.259615384615
svm,tuba,audience,1,0.603830645161
svm,viola,audience,1,0.274764150943
svm,violin,audience,1,0.295219638243
svm,bassoon,studio,0,0.402920962199
svm,cello,studio,0,0.390579710145
svm,clarinet,studio,0,0.182432432432
svm,double-bass,studio,0,0.181884057971
svm,flute,studio,0,0.325854700855
svm,french-horn,studio,0,0.460843373494
svm,oboe,studio,0,0.665611814346
svm,trombone,studio,0,0.469298245614
svm,trumpet,studio,0,0.447435897436
svm,tuba,studio,0,0.58501344086
svm,viola,studio,0,0.331761006289
svm,violin,studio,0,0.335271317829
svm,bassoon,studio,1,0.422250859107
svm,cello,studio,1,0.4
svm,clarinet,studio,1,0.221471471471
svm,double-bass,studio,1,0.18731884058
svm,flute,studio,1,0.352207977208
svm,french-horn,studio,1,0.415662650602
svm,oboe,studio,1,0.654008438819
svm,trombone,studio,1,0.453216374269
svm,trumpet,studio,1,0.464743589744
svm,tuba,studio,1,0.587365591398
