model,label,noise_type,snr_db,replicate,clean_recall,noisy_recall,recall_loss
svm,bassoon,white,50,0,0.907216494845,0.783505154639,0.123711340206
svm,cello,white,50,0,0.982608695652,0.95652173913,0.0260869565217
svm,clarinet,white,50,0,0.990990990991,0.963963963964,0.027027027027
svm,double-bass,white,50,0,1,0.965217391304,0.0347826086957
svm,flute,white,50,0,0.991452991453,1,-0.00854700854701
svm,french-horn,white,50,0,0.987951807229,0.951807228916,0.0361445783133
svm,oboe,white,50,0,0.962025316456,0.658227848101,0.303797468354
svm,trombone,white,50,0,1,1,0
svm,trumpet,white,50,0,0.969230769231,0.830769230769,0.138461538462
svm,tuba,white,50,0,1,0.798387096774,0.201612903226
svm,viola,white,50,0,0.990566037736,0.943396226415,0.0471698113208
svm,violin,white,50,0,0.968992248062,0.945736434109,0.0232558139535
svm,bassoon,white,40,0,0.907216494845,0.19587628866,0.711340206186
svm,cello,white,40,0,0.982608695652,0.834782608696,0.147826086957
svm,clarinet,white,40,0,0.990990990991,0.873873873874,0.117117117117
svm,double-bass,white,40,0,1,0.426086956522,0.573913043478
svm,flute,white,40,0,0.991452991453,1,-0.00854700854701
svm,french-horn,white,40,0,0.987951807229,0.771084337349,0.21686746988
svm,oboe,white,40,0,0.962025316456,0.0379746835443,0.924050632911
svm,trombone,white,40,0,1,1,0
svm,trumpet,white,40,0,0.969230769231,0.523076923077,0.446153846154
svm,tuba,white,40,0,1,0.129032258065,0.870967741935
svm,viola,white,40,0,0.990566037736,0.669811320755,0.320754716981
svm,violin,white,40,0,0.968992248062,0.922480620155,0.046511627907
svm,bassoon,white,30,0,0.907216494845,0,0.907216494845
svm,cello,white,30,0,0.982608695652,0.4,0.582608695652
svm,clarinet,white,30,0,0.990990990991,0.468468468468,0.522522522523
svm,double-bass,white,30,0,1,0,1
svm,flute,white,30,0,0.991452991453,0.965811965812,0.025641025641
svm,french-horn,white,30,0,0.987951807229,0.33734939759,0.650602409639
svm,oboe,white,30,0,0.962025316456,0,0.962025316456
svm,trombone,white,30,0,1,0.798245614035,0.201754385965
svm,trumpet,white,30,0,0.969230769231,0.169230769231,0.8
svm,tuba,white,30,0,1,0,1
svm,viola,white,30,0,0.990566037736,0,0.990566037736
svm,violin,white,30,0,0.968992248062,0.945736434109,0.0232558139535
svm,bassoon,white,20,0,0.907216494845,0,0.907216494845
svm,cello,white,20,0,0.982608695652,0,0.982608695652
svm,clarinet,white,20,0,0.990990990991,0.027027027027,0.963963963964
svm,double-bass,white,20,0,1,0,1
svm,flute,white,20,0,0.991452991453,0.777777777778,0.213675213675
svm,french-horn,white,20,0,0.987951807229,0.0240963855422,0.963855421687
svm,oboe,white,20,0,0.962025316456,0,0.962025316456
svm,trombone,white,20,0,1,0.412280701754,0.587719298246
svm,trumpet,white,20,0,0.969230769231,0.0153846153846,0.953846153846
svm,tuba,white,20,0,1,0,1
svm,viola,white,20,0,0.990566037736,0,0.990566037736
svm,violin,white,20,0,0.968992248062,0.937984496124,0.031007751938
svm,bassoon,white,10,0,0.907216494845,0,0.907216494845
svm,cello,white,10,0,0.982608695652,0,0.982608695652
svm,clarinet,white,10,0,0.990990990991,0,0.990990990991
svm,double-bass,white,10,0,1,0,1
svm,flute,white,10,0,0.991452991453,0.487179487179,0.504273504274
svm,french-horn,white,10,0,0.987951807229,0,0.987951807229
svm,oboe,white,10,0,0.962025316456,0,0.962025316456
svm,trombone,white,10,0,1,0.201754385965,0.798245614035
svm,trumpet,white,10,0,0.969230769231,0,0.969230769231
svm,tuba,white,10,0,1,0,1
svm,viola,white,10,0,0.990566037736,0,0.990566037736
svm,violin,white,10,0,0.968992248062,0.961240310078,0.0077519379845
svm,bassoon,white,0,0,0.907216494845,0,0.907216494845
svm,cello,white,0,0,0.982608695652,0,0.982608695652
svm,clarinet,white,0,0,0.990990990991,0,0.990990990991
svm,double-bass,white,0,0,1,0,1
svm,flute,white,0,0,0.991452991453,0.991452991453,0
svm,french-horn,white,0,0,0.987951807229,0,0.987951807229
svm,oboe,white,0,0,0.962025316456,0,0.962025316456
svm,trombone,white,0,0,1,0.0526315789474,0.947368421053
svm,trumpet,white,0,0,0.969230769231,0,0.969230769231
svm,tuba,white,0,0,1,0,1
svm,viola,white,0,0,0.990566037736,0,0.990566037736
