model,label,noise_type,mean_recall_loss_auc,min_recall_loss_auc,max_recall_loss_auc,n_replicates
svm,bassoon,white,0.809278350515,0.809278350515,0.809278350515,2
svm,cello,white,0.695652173913,0.694202898551,0.697101449275,2
svm,clarinet,white,0.636636636637,0.636261261261,0.637012012012,2
svm,double-bass,white,0.849275362319,0.848550724638,0.85,2
svm,flute,white,0.168269230769,0.165598290598,0.17094017094,2
svm,french-horn,white,0.719879518072,0.719879518072,0.719879518072,2
svm,oboe,white,0.901371308017,0.900843881857,0.901898734177,2
svm,trombone,white,0.513523391813,0.508040935673,0.519005847953,2
svm,trumpet,white,0.758333333333,0.755128205128,0.761538461538,2
svm,tuba,white,0.911626344086,0.911290322581,0.911962365591,2
svm,viola,white,0.801886792453,0.800314465409,0.803459119497,2
svm,violin,white,0.25726744186,0.256136950904,0.258397932817,2
svm,bassoon,audience,0.30412371134,0.286082474227,0.322164948454,2
svm,cello,audience,0.361050724638,0.357971014493,0.364130434783,2
svm,clarinet,audience,0.14039039039,0.134384384384,0.146396396396,2
svm,double-bass,audience,0.211231884058,0.186594202899,0.235869565217,2
svm,flute,audience,0.299501424501,0.291666666667,0.307336182336,2
svm,french-horn,audience,0.394076305221,0.380020080321,0.40813253012,2
svm,oboe,audience,0.532436708861,0.505274261603,0.559599156118,2
svm,trombone,audience,0.367507309942,0.366593567251,0.368421052632,2
svm,trumpet,audience,0.283012820513,0.259615384615,0.30641025641,2
svm,tuba,audience,0.622983870968,0.603830645161,0.642137096774,2
svm,viola,audience,0.239976415094,0.205188679245,0.274764150943,2
svm,violin,audience,0.288598191214,0.281976744186,0.295219638243,2
svm,bassoon,studio,0.412585910653,0.402920962199,0.422250859107,2
svm,cello,studio,0.395289855072,0.390579710145,0.4,2
svm,clarinet,studio,0.201951951952,0.182432432432,0.221471471471,2
svm,double-bass,studio,0.184601449275,0.181884057971,0.18731884058,2
svm,flute,studio,0.339031339031,0.325854700855,0.352207977208,2
svm,french-horn,studio,0.438253012048,0.415662650602,0.460843373494,2
svm,oboe,studio,0.659810126582,0.654008438819,0.665611814346,2
svm,trombone,studio,0.461257309942,0.453216374269,0.469298245614,2
svm,trumpet,studio,0.45608974359,0.447435897436,0.464743589744,2
svm,tuba,studio,0.586189516129,0.58501344086,0.587365591398,2
svm,viola,studio,0.344732704403,0.331761006289,0.357704402516,2
svm,violin,studio,0.33769379845,0.335271317829,0.34011627907,2
cnn,bassoon,white,0.567869415808,0.56529209622,0.570446735395,2
