model,instrument_a,instrument_b,noise_type,replicate,confusion_increase_auc
svm,bassoon,cello,white,0,0.00687285223368
svm,bassoon,clarinet,white,0,0.0268470790378
svm,bassoon,double-bass,white,0,0
svm,bassoon,flute,white,0,0.126718213058
svm,bassoon,french-horn,white,0,0.00816151202749
svm,bassoon,oboe,white,0,-0.0133161512027
svm,bassoon,trombone,white,0,0.100085910653
svm,bassoon,trumpet,white,0,-0.00644329896907
svm,bassoon,tuba,white,0,0
svm,bassoon,viola,white,0,0
svm,bassoon,violin,white,0,0.155713058419
svm,cello,clarinet,white,0,0.0239636375506
svm,cello,double-bass,white,0,-0.00688405797101
svm,cello,flute,white,0,0.147282608696
svm,cello,french-horn,white,0,0
svm,cello,oboe,white,0,0
svm,cello,trombone,white,0,0
svm,cello,trumpet,white,0,0.00688405797101
svm,cello,tuba,white,0,0.0218413978495
svm,cello,viola,white,0,0.0036231884058
svm,cello,violin,white,0,0.167500842602
svm,clarinet,double-bass,white,0,0.0652173913043
svm,clarinet,flute,white,0,0.248541811042
svm,clarinet,french-horn,white,0,0.0368975903614
svm,clarinet,oboe,white,0,0.0361286919831
svm,clarinet,trombone,white,0,0.0387426900585
svm,clarinet,trumpet,white,0,0.0413808038808
svm,clarinet,tuba,white,0,0.100806451613
svm,clarinet,viola,white,0,0.0204402515723
svm,clarinet,violin,white,0,0.0975277603185
svm,double-bass,flute,white,0,0.249637681159
svm,double-bass,french-horn,white,0,0
svm,double-bass,oboe,white,0,0
svm,double-bass,trombone,white,0,0
svm,double-bass,trumpet,white,0,0.0018115942029
svm,double-bass,tuba,white,0,0.000672043010753
svm,double-bass,viola,white,0,0.00253623188406
svm,double-bass,violin,white,0,0.0997472194135
svm,flute,french-horn,white,0,0.100652610442
svm,flute,oboe,white,0,0.340189873418
svm,flute,trombone,white,0,0.117872807018
svm,flute,trumpet,white,0,0.18952991453
svm,flute,tuba,white,0,0.201948924731
svm,flute,viola,white,0,0.233687106918
svm,flute,violin,white,0,0.179139336116
svm,french-horn,oboe,white,0,-0.00632911392405
svm,french-horn,trombone,white,0,0.00652610441767
svm,french-horn,trumpet,white,0,0.0103181958604
svm,french-horn,tuba,white,0,0.00336021505376
svm,french-horn,viola,white,0,0.00157232704403
svm,french-horn,violin,white,0,0.206827309237
svm,oboe,trombone,white,0,0
svm,oboe,trumpet,white,0,-0.00905550146056
svm,oboe,tuba,white,0,0
svm,oboe,viola,white,0,-0.00580168776371
svm,oboe,violin,white,0,0.0799050632911
svm,trombone,trumpet,white,0,0.0645552181736
svm,trombone,tuba,white,0,0.0221774193548
svm,trombone,viola,white,0,0
svm,trombone,violin,white,0,0.0950292397661
svm,trumpet,tuba,white,0,0.00168010752688
svm,trumpet,viola,white,0,0.0161163522013
svm,trumpet,violin,white,0,0.120878056052
svm,tuba,viola,white,0,0.00403225806452
svm,tuba,violin,white,0,0.0994623655914
svm,viola,violin,white,0,0.128341194969
svm,bassoon,cello,white,1,0.00601374570447
svm,bassoon,clarinet,white,1,0.0307130584192
svm,bassoon,double-bass,white,1,0
svm,bassoon,flute,white,1,0.124785223368
svm,bassoon,french-horn,white,1,0.00987972508591
svm,bassoon,oboe,white,1,-0.0133161512027
svm,bassoon,trombone,white,1,0.0957903780069
svm,bassoon,trumpet,white,1,-0.00601374570447
svm,bassoon,tuba,white,1,0
svm,bassoon,viola,white,1,0
svm,bassoon,violin,white,1,0.156786941581
svm,cello,clarinet,white,1,0.0246882752318
svm,cello,double-bass,white,1,-0.00615942028986
