model,instrument_a,instrument_b,noise_type,snr_db,replicate,clean_symmetric_confusion,noisy_symmetric_confusion,confusion_increase
svm,bassoon,cello,white,50,0,0,0,0
svm,bassoon,clarinet,white,50,0,0.0103092783505,0.00515463917526,-0.00515463917526
svm,bassoon,double-bass,white,50,0,0,0,0
svm,bassoon,flute,white,50,0,0,0.0103092783505,0.0103092783505
svm,bassoon,french-horn,white,50,0,0.00515463917526,0.0154639175258,0.0103092783505
svm,bassoon,oboe,white,50,0,0.0154639175258,0.0257731958763,0.0103092783505
svm,bassoon,trombone,white,50,0,0,0.0257731958763,0.0257731958763
svm,bassoon,trumpet,white,50,0,0.0154639175258,0.020618556701,0.00515463917526
svm,bassoon,tuba,white,50,0,0,0,0
svm,bassoon,viola,white,50,0,0,0,0
svm,bassoon,violin,white,50,0,0,0.00515463917526,0.00515463917526
svm,cello,clarinet,white,50,0,0.0045045045045,0.00900900900901,0.0045045045045
svm,cello,double-bass,white,50,0,0.00869565217391,0.00434782608696,-0.00434782608696
svm,cello,flute,white,50,0,0,0,0
svm,cello,french-horn,white,50,0,0,0,0
svm,cello,oboe,white,50,0,0,0,0
svm,cello,trombone,white,50,0,0,0,0
svm,cello,trumpet,white,50,0,0,0,0
svm,cello,tuba,white,50,0,0,0.0443548387097,0.0443548387097
svm,cello,viola,white,50,0,0,0.00869565217391,0.00869565217391
svm,cello,violin,white,50,0,0.00387596899225,0.00869565217391,0.00481968318166
svm,clarinet,double-bass,white,50,0,0,0,0
svm,clarinet,flute,white,50,0,0.0042735042735,0.0045045045045,0.000231000231
svm,clarinet,french-horn,white,50,0,0,0,0
svm,clarinet,oboe,white,50,0,0,0.00632911392405,0.00632911392405
svm,clarinet,trombone,white,50,0,0,0,0
svm,clarinet,trumpet,white,50,0,0,0.0045045045045,0.0045045045045
svm,clarinet,tuba,white,50,0,0,0.0161290322581,0.0161290322581
svm,clarinet,viola,white,50,0,0.00471698113208,0.00471698113208,0
svm,clarinet,violin,white,50,0,0.0077519379845,0.0116279069767,0.00387596899225
svm,double-bass,flute,white,50,0,0,0.00434782608696,0.00434782608696
svm,double-bass,french-horn,white,50,0,0,0,0
svm,double-bass,oboe,white,50,0,0,0,0
svm,double-bass,trombone,white,50,0,0,0,0
svm,double-bass,trumpet,white,50,0,0,0,0
svm,double-bass,tuba,white,50,0,0,0,0
svm,double-bass,viola,white,50,0,0,0.0130434782609,0.0130434782609
svm,double-bass,violin,white,50,0,0.00387596899225,0,-0.00387596899225
svm,flute,french-horn,white,50,0,0,0,0
svm,flute,oboe,white,50,0,0.00632911392405,0.151898734177,0.145569620253
svm,flute,trombone,white,50,0,0,0,0
svm,flute,trumpet,white,50,0,0,0,0
svm,flute,tuba,white,50,0,0,0,0
svm,flute,viola,white,50,0,0,0.0141509433962,0.0141509433962
svm,flute,violin,white,50,0,0,0.015503875969,0.015503875969
svm,french-horn,oboe,white,50,0,0.00632911392405,0,-0.00632911392405
svm,french-horn,trombone,white,50,0,0.00602409638554,0.0180722891566,0.0120481927711
svm,french-horn,trumpet,white,50,0,0,0.00602409638554,0.00602409638554
svm,french-horn,tuba,white,50,0,0,0.0241935483871,0.0241935483871
svm,french-horn,viola,white,50,0,0,0,0
svm,french-horn,violin,white,50,0,0,0,0
svm,oboe,trombone,white,50,0,0,0,0
