label,n_train,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_hz,spectral_contrast_db,mfcc_profile_distance
bassoon,454,733.25799538,1002.08035724,973.397463901,23.9915945273,3.10638530188
cello,516,1093.70092059,1435.52738737,1833.78449352,24.0992996542,1.97547089224
clarinet,547,1493.88802287,1298.44465995,2429.26341987,25.8495467415,1.98415676174
double-bass,533,786.592841505,1455.31284148,1272.86061003,21.2060547454,2.55245869391
flute,548,1401.90495434,1747.11134595,2291.58968575,23.4097877051,2.89122037313
french-horn,379,703.240711413,974.984927377,1053.62941868,23.7203423038,3.21251676005
oboe,378,1452.82963628,1162.79407227,2125.70619484,26.9096733186,4.10209077034
trombone,531,1219.59078732,1295.01171492,2049.50908673,23.3792515819,3.58799613755
trumpet,303,1624.22753404,1347.13815483,2606.38130493,25.5053840932,2.50949156626
tuba,583,332.143077916,548.164992854,411.090557946,19.7638760434,4.80377209349
viola,495,1399.33839093,1728.21093715,2532.40256762,23.6343516738,2.65565059945
violin,594,2234.77349867,2063.22128008,4012.8381684,24.6432889463,3.23113336995
