label,n_train,mfcc0_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc0_std,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc14_std,mfcc15_std,mfcc16_std,mfcc17_std,mfcc18_std,mfcc19_std,chroma0_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma0_std,chroma1_std,chroma2_std,chroma3_std,chroma4_std,chroma5_std,chroma6_std,chroma7_std,chroma8_std,chroma9_std,chroma10_std,chroma11_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,contrast0_mean,contrast1_mean,contrast2_mean,contrast3_mean,contrast4_mean,contrast5_mean,contrast6_mean,contrast0_std,contrast1_std,contrast2_std,contrast3_std,contrast4_std,contrast5_std,contrast6_std,zcr_mean,zcr_std,rms_mean,rms_std
bassoon,454,0.132334647538,1.21648523555,0.416956215858,-0.858281052724,-0.909896271962,-0.848718858401,-0.732701827202,-0.868352088415,-0.0510818500539,-0.787016745956,-0.904513301514,0.0192314588083,0.108101530194,-0.0276114726696,-0.072489540473,0.151209738343,0.390393866684,-0.344695678347,-0.416293630092,0.0707163963701,-0.168833749234,-0.111497665884,-0.443777758455,-0.289500161585,-0.199418292311,-0.331525477957,-0.333048673739,-0.00677152990906,-0.591861477368,0.00508948194585,0.117921706989,-0.401142404846,-0.462460491892,-0.459102753213,-0.368642710494,-0.352927114339,-0.265158643316,-0.410603393726,-0.368954720445,-0.551785114115,-0.108530362112,-0.245854229708,-0.330002326275,-0.183591595745,-0.135163253965,-0.195109364848,-0.266353358577,-0.0784404069442,0.0902529657836,0.182909521236,0.425778647125,0.407757860195,-0.391399406586,-0.579086470375,-0.537563566298,-0.481897701812,-0.436343033995,-0.416190857133,-0.348886881081,-0.299441084487,-0.297406872197,-0.327258316774,-0.323586322051,-0.393780436487,-0.658492851371,-0.874426135026,-0.704401257017,-0.519810046918,-0.757538820248,-0.984527634449,-0.309676992999,0.431680131751,0.426498726144,0.0669747925197,-0.111472532121,-0.158453906327,-0.239030999158,-0.0625326744601,0.10126081213,-0.305965898314,-0.567159432043,-0.3570873524,-0.448635820867,-0.512404207569,-0.361257804668,-0.558284864258,0.591603272641,-0.618686177632
cello,516,0.291035480465,0.243278985887,0.28829557708,0.38759735027,0.774872433361,-0.275384268447,-0.363162242715,0.291761377575,0.347791870822,-0.226269517809,-0.43103365785,-0.130961206685,-0.172773445072,-0.340461862801,-0.526661118796,-0.253716946469,-0.338775448522,-0.310166448833,-0.403775418061,-0.347495126792,0.029160443484,-0.382688308989,0.0647820302789,-0.514572617735,-0.775329467265,0.157101159139,0.0155261423215,-0.2436074551,-0.366365380102,0.0178700482029,-0.0144723723634,-0.0545623503207,-0.0209981984808,0.0343474053975,0.175154280764,-0.0265404823044,0.0185658491242,-0.0168070333305,0.0358573070513,-0.0168179466723,-0.0885462396951,-0.196091560802,-0.0206163150135,0.105459059092,-0.119242193247,-0.0465352946293,-0.140434487044,-0.0570217226623,-0.0900896047761,-0.312753740068,-0.102879263313,-0.0755277254696,-0.40048964843,-0.235746858802,-0.229460997729,-0.198211164254,-0.269785056364,-0.209963230427,-0.2033856201,-0.1993565777,-0.335892818409,-0.269036131778,-0.343690477535,-0.37658724543,-0.15692096249,-0.0767735211484,0.159542401917,-0.149566728591,-0.110489996183,-0.0506341015544,0.0318066512745,0.120103807497,0.102473701192,0.130467871449,0.0570460059788,-0.110166520839,0.138413672246,-0.116776197658,-0.0575408274202,-0.110388241276,-0.0727405882959,-0.279552436116,-0.24483619768,0.130414629325,-0.324160024217,-0.35485982023,-0.219366333733,0.28008889794
clarinet,547,-0.135631630393,-0.552976855746,-0.960922166457,0.054300504694,-0.558419209599,0.399348761542,0.12427218838,-0.453254813273,0.269186358151,0.352425791238,0.499312209806,0.107849393017,-0.119396031935,0.0482568158006,-0.136067873635,-0.0735366785272,-0.115937940206,-0.187679570704,-0.00915226646275,-0.145140847819,-0.71291467071,-0.719579600728,-0.133454720413,0.339459832499,-0.19679248324,0.0508111651163,-0.307036272925,0.0513713678926,-0.167188358525,-0.0780439788053,0.0116622579472,-0.12104278653,0.0462596896395,-0.0930092512954,0.0600783545596,0.193697007044,0.111509580211,0.0684865477826,0.101673482922,-0.0270445807499,-0.289145222039,-0.137039268861,-0.182455496964,-0.316760530969,-0.301389624323,-0.074224858343,-0.108079122955,-0.311918987872,-0.324598917328,-0.281656035873,-0.269440223026,-0.309349729898,-0.821676927739,-0.763854249085,-0.696361943111,-0.723048219643,-0.76141107114,-0.71340112672,-0.73899997195,-0.77681188802,-0.78074866301,-0.805252661486,-0.933734927245,-0.909206627643,0.399956664324,-0.160155666418,-0.113689953773,-0.264586868549,0.337336302669,0.0971966778591,-0.874852393745,-0.00483293936484,0.229847829483,0.567775155057,0.829772506221,0.986312253498,0.522990184136,-0.622567055209,-0.403772942283,-0.489077266086,-0.339664014456,0.26536546664,0.494732499212,-0.160670852638,0.422297997047,-0.119888361677,0.923305978912,-1.08729993384
double-bass,533,0.121824058145,0.38656639057,0.725677921697,0.617127827111,0.940831795255,1.15598320714,0.816486887658,0.746002762636,0.221861129567,0.0959201646737,-0.0418037736296,-0.0263372134369,-0.428169641751,-0.362980606347,-0.215955036234,-0.427908026738,-0.371963129861,-0.0725564910306,-0.0183568357321,0.157733626242,0.665317077241,-0.19132802572,-0.069921031907,-0.00539771163413,-0.00257637212402,-0.416670768408,0.0685315276099,-0.0639371072059,-0.049606280058,-0.329766022878,-0.323533284301,-0.123032909471,-0.0252695213173,-0.239358622748,-0.328807482761,-0.242255318282,-0.0987130982284,-0.136910421515,-0.192688724607,-0.190331949096,0.190656325336,0.262559028505,0.278610003072,0.0795686831329,0.103130799226,0.30026498548,0.431564588675,0.519969808609,0.363297355832,0.185411724905,-0.0438857211148,-0.0250992351753,-0.00333840513032,-0.0311544531455,-0.0323533774998,-0.0516445442053,-0.070093917622,-0.0898125622631,-0.117057090716,-6.68405732105e-05,-0.0556883506521,-0.0112246750015,-0.167969592683,-0.0703639873316,-0.5842751108,-0.0128782723841,0.198978633851,0.28856683526,-0.532329385558,0.157369611551,-0.343037688659,0.30622406655,-0.478445408495,-0.942223612724,-0.982979818211,-0.734372014395,0.242024449802,0.164888736057,0.0965879549195,-0.359539201064,-0.575441860468,-0.601495542572,-0.494999654643,0.356352849511,-0.867682198422,-0.515096887008,-0.623143474679,0.665790761382
flute,548,-0.0288499830117,-0.774082880955,-0.401831093582,-0.319915144717,0.461947389675,0.562339258831,0.585984257071,0.0494902127492,-0.114861470804,0.515476170196,0.887810875766,0.491370262866,0.367290741474,0.711452751254,0.721389362548,0.341736211083,0.521952104697,0.468341075044,0.433039599553,0.241262303794,-0.347113460679,-0.526959079761,0.0923847363974,-0.254450348803,-0.262879487057,-0.0799716541205,-0.280371997288,0.130002053134,0.241223968119,-0.0187489759927,-0.106128186562,0.287084026791,0.509267536645,0.675395669874,0.595819727391,0.531360263564,0.573601232362,0.603344063495,0.429918533878,0.519716934948,0.0281648029098,0.111875477421,0.0903633588128,0.120061359496,0.10590182659,-0.00576441100013,-0.0519742138917,-0.0817381359971,-0.0766609107575,-0.0813428511609,-0.158868761501,-0.10004639563,0.580606361669,0.603569683886,0.629166379613,0.607243873687,0.684253071193,0.678342390968,0.649492041138,0.628289756427,0.595353866371,0.560801174909,0.574467319691,0.59908466354,0.271958254039,-0.0286307862365,0.780589419245,0.156483008198,0.233799609641,0.322149338224,0.987247273299,-0.632704719593,0.188084406829,0.416470504696,-0.0205388961373,-0.428301040253,-0.436790732104,0.900144816499,-0.0932697716193,0.912109769998,0.978999970817,0.334347293056,-0.19160459105,-0.553416943676,0.117922617527,0.0272968439885,0.113082331879,-0.10947407427
french-horn,379,-0.34083336121,0.933019934455,0.540935223606,-0.343035273883,-0.504801342589,-1.43078557336,-1.1653992508,-0.569911550942,-0.474109314931,-0.525972925638,-0.213652684561,-0.0274305334152,0.20803701023,0.0780093189148,-0.16710368148,-0.208861455307,0.166946510297,0.153053411822,0.169449912197,0.152155403632,-0.434372720527,0.673249092269,-0.336415995247,0.225684506159,-0.00641929033633,0.80556203679,0.280512991143,-0.262119975315,-0.345300138989,-0.232862204698,-0.528613706748,-0.613351385912,-0.673134513127,-0.571438275864,-0.213424067353,-0.367236973645,-0.358134476166,-0.397596367887,-0.484696624238,-0.503609735247,-0.0407700269025,-0.268493077913,-0.221394078614,0.087272446926,0.130255874128,0.00632286044747,0.0880215087479,0.328701743358,0.215213343677,0.0583006383416,0.0524870673942,-0.083186279383,-0.0659358975196,0.0120797254549,-0.0330135202838,0.00528821886313,0.0106884374062,0.0268661149564,0.0876804016301,0.0146549924074,0.0260415227953,0.0369133702418,0.0361636452055,-0.0479677214919,-0.700263197701,-0.507188115393,-0.758407682682,0.644404489664,-0.69720086744,-0.432965997711,0.209302960067,0.683239239156,0.39626976704,0.157716670164,-0.448358951897,-0.468650769976,-0.681248544334,-0.419494099069,0.444099104918,0.282046129767,0.0179854567147,-0.406927523756,-0.516377223573,-0.525658132533,-0.612899679052,-0.588666470722,0.392440406541,-0.413833476309
oboe,378,-0.726420827199,-0.686345472007,-1.1465945107,-0.321458290187,0.0650873077767,0.809408575383,1.08859370278,0.645349148036,1.12206674098,1.11048698066,0.957734939817,0.382590371359,0.294190677505,-0.119891078916,0.386813359558,0.683789626084,0.232975613081,0.243317718508,0.522188585518,0.429600961421,-0.400254278446,-0.1221204256,0.570586950418,-0.0547330654152,0.357878282602,0.116281150059,0.0793379785126,0.619267688839,0.666451428513,0.879606581914,0.74311057775,1.00529951148,0.468658533425,0.746598663863,0.632162697143,0.586530543081,0.439560022493,0.609486252793,0.831659814131,0.843782079328,-0.274124562177,-0.0415894602045,-0.0934952504905,-0.165216417412,0.0609437404649,0.147406218776,0.184227211802,-0.165196673242,-0.116364352772,-0.252170748635,-0.320853996408,-0.199891617432,0.453355704811,0.394363033934,0.405040812943,0.493652948974,0.436519381531,0.298653297311,0.234658187467,0.311011724618,0.299622274658,0.309793130822,0.36216126077,0.374697740676,0.342822147113,-0.206725997401,-0.384067778288,-0.0759673791398,0.109047940884,-0.361726849261,1.16419566442,-0.587261058245,-0.0396151672852,1.30518677265,1.40201064423,1.00642960789,-0.0677518644333,0.430212573368,0.0444047897309,0.566412477506,1.39150020306,1.15458163689,1.0311710225,-0.0184170643814,0.797861471085,0.457884396225,0.274497152337,-0.219075427949
trombone,531,0.666682751178,0.469204173813,-0.614419559141,-1.18803668603,-0.992445811892,-0.661212823593,-0.591582695982,-0.859300455636,-0.977498116342,-0.411628852102,-0.425620937702,-0.190591681966,-0.152897202108,-0.235738312468,-0.0413746486309,-0.43695153161,-0.354379938432,-0.111702538597,-0.229256331872,-0.382241933714,0.765973568303,0.783185398736,0.728724093486,0.573396943913,0.261645178066,-0.560697651768,-0.606357214162,-0.692284610177,-0.286753365924,-0.668402678309,-0.512268258394,-0.642960785114,-0.443083961983,-0.381017615306,-0.544359400993,-0.385769496369,-0.273946089697,-0.403405499261,-0.469751136576,-0.468317419771,-0.0993952900487,0.0250096001957,-0.0344121257687,-0.0385886313168,-0.0617548703114,-0.223961067911,-0.0370415978804,0.0552978766556,0.201648064921,0.156027508757,0.16574314975,0.00396073896617,-0.614384901328,-0.502794143064,-0.52853996307,-0.598666940736,-0.576909535443,-0.565843745933,-0.528809218921,-0.515594713573,-0.163871415549,-0.338996338747,-0.420906277901,-0.525090251635,0.0182602210795,0.155948508915,-0.12053247634,0.566500852264,0.0517443699285,0.172458177929,-0.788922285787,0.323301864662,0.317936946686,-0.211586053083,-0.188821509597,-0.0606358132034,-0.075995369197,-0.381555070187,-0.18492770861,-0.221703743155,-0.561417602721,-0.561338125595,-0.186400983333,0.294569144626,-0.0777260036856,-0.2436105761,-0.190902297847,0.214307876928
trumpet,303,0.453190028433,-0.463041945115,-1.2977676242,-0.993707908379,-0.574287237008,-0.959933331029,-0.529688081431,-0.061502435104,-0.594323518895,0.22782957407,0.0165605810763,-0.129769060072,0.229084894878,0.326399260387,0.234829262986,0.433547394401,0.221620716792,0.129749705855,0.213821192243,-0.13698180041,0.229436649043,0.510812680748,0.0741035892358,0.192896275912,0.154376471192,0.0886205152594,-0.140893051711,-0.0205047477485,0.401388751691,-0.141256328017,0.072532165708,0.205268096656,0.0372493171775,-0.14172877274,0.0117421333821,-0.00977651201432,0.168024871635,-0.0635295733058,-0.122738265023,-0.099661429425,-0.0597461346389,-0.100805275556,-0.0132440092202,-0.141125975938,-0.290170859453,-0.162700771366,-0.353681938467,-0.0522544003505,-0.19376297829,0.110515652142,0.0661976112809,-0.210461292971,-0.292401868875,-0.410182442516,-0.432989663282,-0.364004175137,-0.368843579009,-0.422915453528,-0.413098226595,-0.494356731601,-0.332972464736,-0.235777758935,-0.312702028059,-0.264125098542,0.581329720196,-0.187527327253,-0.016634412477,-0.0840061181179,0.470536729106,-0.352813017699,-0.683408348956,-0.205164167498,0.261592649078,0.429599347322,0.528464071551,1.01518244584,0.617206419165,-0.31579039171,-0.387051549203,-0.348056220311,-0.356112295765,-0.39624620505,0.0336465043271,0.489975056829,0.511921164118,-0.0931451990236,0.0393960890621,-0.152383589094
tuba,583,-1.53868723764,0.755495820859,1.91545548048,1.39649847617,1.03804363358,0.425800172885,0.295503333762,-0.357725750515,-0.469008064543,-0.637722271414,-0.44913674582,-0.742542442569,-0.736320602756,-0.691610746499,-0.707158953808,-0.917770246839,-0.68347114296,-0.538967020264,-0.238348962017,-0.328095096417,-0.933970066211,0.992258606835,-0.514145938564,0.869450883128,0.525735557524,0.554760340699,0.214256594462,0.154827650878,-0.187441243205,-0.250683853634,-0.658657376901,-0.619618449721,-0.584663613893,-0.666178616158,-0.645773091008,-0.617331246614,-0.785010699045,-0.748076237481,-0.8072913911,-0.722251268204,0.191853892321,0.26180952582,0.254098946221,0.171987019442,0.171919111616,0.093821351082,0.00200182224159,-0.205768939593,-0.248443958857,-0.0537236456226,0.0565091187971,0.101920753867,-0.151604047695,-0.0717872280806,-0.102652761884,-0.0503570558177,0.0121004770308,0.100599713469,0.125030446972,-0.0171015661723,-0.252608577012,-0.262469265373,-0.0611890395514,-0.0435789781223,-1.21666157307,-0.812197084696,-1.60914225991,0.248655110793,-1.18041830325,-1.0311065574,-0.411829434984,0.338940344766,-0.404288111032,-1.06165410342,-0.895913107645,-1.15204020036,-1.14353405489,0.342162872958,0.738184620721,-0.0626312376403,-0.319090477822,-0.4254240281,-0.791165139723,-0.920892873698,-0.797391129629,-0.329978467809,-0.321042254923,0.398102224278
