model,noise_type,auc_inband,auc_nominal
AST,audience,0.8207151399038631,0.7906334149466395
AST,studio,0.7327660913988294,0.752631908862911
AST,white,0.6644077529739304,0.6356269680658305
CNN,audience,0.6833952168652083,0.6526485824450075
CNN,studio,0.4665985185323066,0.5048412960872819
CNN,white,0.3732079179256854,0.35658577697255694
CRNN,audience,0.6857788184668209,0.6548792992363809
CRNN,studio,0.47776802485559955,0.5152378266953652
CRNN,white,0.34452067406262016,0.3301546463703376
MERT,audience,0.7926815601327266,0.754863273550815
MERT,studio,0.6606473823500593,0.6857158106740582
MERT,white,0.6009739224561133,0.5733701773829977
PANNs,audience,0.8061335620977111,0.7778638487053899
PANNs,studio,0.703995248015552,0.7257207764717583
PANNs,white,0.4220241031265985,0.4042587655775718
SVM,audience,0.6867544230385478,0.648968155156414
SVM,studio,0.5449126349982798,0.5775809454661209
SVM,white,0.26650217614510974,0.2585903816029672
