noise_type,snr_nominal_db,replicate,n_windows,snr_inband_mean_db,snr_inband_std_db,snr_inband_median_db,snr_inband_sem_db,snr_fullband_mean_db,inband_offset_db
white,50,0,250,51.15904768046252,0.8788591787180834,51.39064842129049,0.055583934945882485,49.999999984913266,1.1590476804625212
white,50,1,250,51.15601711684072,0.8783822622595696,51.38723833995715,0.05555377210063199,49.99999999059952,1.1560171168407223
white,40,0,250,41.15904769714238,0.8788591528747621,41.39064860992853,0.05558393331140734,40.00000000186837,1.1590476971423769
white,40,1,250,41.156017131627465,0.8783822582580526,41.387238392472284,0.055553771847553834,40.00000001066047,1.1560171316274648
white,30,0,250,31.159047693165085,0.8788591496927037,31.390648213358357,0.055583933110156296,29.999999994926966,1.1590476931650855
white,30,1,250,31.15601711696405,0.8783822510312663,31.387238592741284,0.05555377139049174,29.999999999824023,1.1560171169640512
white,20,0,250,21.15904771203728,0.8788591491058052,21.390648311030912,0.05558393307303757,20.0000000152366,1.1590477120372817
white,20,1,250,21.156017118172944,0.8783822403230698,21.387238290327957,0.05555377071324592,20.000000000804057,1.1560171181729437
white,10,0,250,11.159047699596794,0.8788591486040573,11.390648396964638,0.05558393304130425,10.000000002256765,1.159047699596794
white,10,1,250,11.15601711511393,0.8783822535054986,11.387238470816312,0.055553771546975925,9.99999999739105,1.1560171151139293
white,0,0,250,1.1590476963075573,0.8788591689489841,1.390648313668108,0.055583934328030396,-9.651359570641532e-10,1.1590476963075573
white,0,1,250,1.15601710233383,0.8783822631746087,1.3872384596948126,0.05555377215850414,-1.545004984143708e-08,1.15601710233383
white,-5,0,250,-3.84095231211104,0.8788591541762173,-3.6093514678847507,0.05558393339371859,-5.000000009312738,1.1590476878889602
white,-5,1,250,-3.843982892041892,0.8783822725344337,-3.612761420759216,0.05555377275047146,-5.000000009813793,1.156017107958108
white,-10,0,250,-8.840952315921983,0.8788591352905679,-8.609351701517944,0.055583932199285244,-10.000000013090691,1.1590476840780166
white,-10,1,250,-8.843982876219503,0.8783822780117535,-8.612761732514642,0.055553773096887575,-9.999999994004625,1.1560171237804973
audience,50,0,250,50.38323263627774,2.196392752055269,50.0172354767099,0.13891207465560249,49.999999901824694,0.3832326362777394
audience,50,1,250,50.49326420508993,2.2314527705086067,50.0248520865187,0.1411294649180041,49.99999996870455,0.49326420508992896
audience,40,0,250,40.383232640127176,2.1963926521658657,40.017235558606636,0.1389120683380419,39.99999998004624,0.3832326401271757
audience,40,1,250,40.49326423668486,2.231452985742996,40.02485211383198,0.1411294785306221,40.000000005472344,0.4932642366848583
audience,30,0,250,30.383232636247847,2.196392632436656,30.017235470162596,0.1389120670902571,29.999999997198668,0.38323263624784687
audience,30,1,250,30.493264224291938,2.2314530283847964,30.024852042743785,0.14112948122752636,29.999999994232063,0.49326422429193784
audience,20,0,250,20.383232647224776,2.1963926175725614,20.017235849270406,0.13891206615016924,20.00000001416231,0.38323264722477646
audience,20,1,250,20.493264223164413,2.2314530198220437,20.024852192160672,0.14112948068597034,19.99999999306777,0.4932642231644131
audience,10,0,250,10.383232636563895,2.196392616065208,10.017235795998554,0.13891206605483583,10.000000005488088,0.3832326365638945
audience,10,1,250,10.493264252443335,2.231452995274263,10.024852179783554,0.14112947913343235,10.000000019927459,0.4932642524433355
audience,0,0,250,0.3832325879430507,2.1963926339249626,0.01723546409624096,0.1389120671843859,-4.4503871846886736e-08,0.3832325879430507
audience,0,1,250,0.49326425068462804,2.2314530008653275,0.024852337562259692,0.14112947948704233,1.978975859725692e-08,0.49326425068462804
audience,-5,0,250,-4.6167673511648095,2.196392616466116,-4.982764672409905,0.13891206608019147,-4.999999981374917,0.3832326488351905
audience,-5,1,250,-4.506735755133553,2.2314529966878576,-4.9751478454409215,0.14112947922283595,-4.99999998649802,0.49326424486644704
audience,-10,0,250,-9.616767370941108,2.1963926147058324,-9.982764482519261,0.13891206596886138,-10.000000000905773,0.38323262905889166
audience,-10,1,250,-9.506735798442206,2.231453016072604,-9.975147680089336,0.14112948044883494,-10.000000030065559,0.4932642015577944
