noise_type,snr_db,replicate,condition,accuracy,macro_f1,macro_f1_drop,macro_f1_retention
clean,,,clean,0.895617529880478,0.8930922560846001,0.0,1.0
white,50.0,0.0,white_50_r0,0.853386454183267,0.8489868869368333,0.04410536914776675,0.9506149909516305
white,50.0,1.0,white_50_r1,0.8557768924302789,0.8506490841161355,0.04244317196846459,0.952476161696285
white,40.0,0.0,white_40_r0,0.7442231075697211,0.7156460741736366,0.1774461819109635,0.8013125959809526
white,40.0,1.0,white_40_r1,0.7418326693227092,0.7146181936524854,0.17847406243211472,0.800161672866181
white,30.0,0.0,white_30_r0,0.649402390438247,0.5952721746924324,0.29782008139216765,0.6665293206125885
white,30.0,1.0,white_30_r1,0.6525896414342629,0.5987213507814934,0.2943709053031067,0.6703913808483165
white,20.0,0.0,white_20_r0,0.5187250996015936,0.4719648665642766,0.42112738952032347,0.5284614924704584
white,20.0,1.0,white_20_r1,0.5163346613545817,0.47091136888955826,0.4221808871950418,0.5272818856968682
white,10.0,0.0,white_10_r0,0.34103585657370517,0.2599675415006284,0.6331247145839717,0.2910869954693711
white,10.0,1.0,white_10_r1,0.3466135458167331,0.2672302134973496,0.6258620425872505,0.299219046718546
white,0.0,0.0,white_0_r0,0.22151394422310758,0.09646001793389906,0.796632238150701,0.10800677900487997
white,0.0,1.0,white_0_r1,0.22151394422310758,0.09758227624136129,0.7955099798432388,0.10926337741318137
white,-5.0,0.0,white_-5_r0,0.19203187250996015,0.06865733262154942,0.8244349234630507,0.07687596903207916
white,-5.0,1.0,white_-5_r1,0.1952191235059761,0.07256200917756665,0.8205302469070335,0.0812480554872184
white,-10.0,0.0,white_-10_r0,0.15617529880478087,0.05015844721727075,0.8429338088673293,0.05616267174588443
white,-10.0,1.0,white_-10_r1,0.15617529880478087,0.05106853015578677,0.8420237259288132,0.05718169630053225
audience,50.0,0.0,audience_50_r0,0.8932270916334661,0.890542870561467,0.0025493855231331075,0.9971454398963105
audience,50.0,1.0,audience_50_r1,0.8924302788844621,0.8890354943095121,0.004056761775087958,0.9954576229415837
audience,40.0,0.0,audience_40_r0,0.8764940239043825,0.8731987282900667,0.01989352779453335,0.9777251144447848
audience,40.0,1.0,audience_40_r1,0.8812749003984064,0.8762901161822643,0.01680213990233581,0.9811865573933001
audience,30.0,0.0,audience_30_r0,0.8286852589641435,0.825579185154934,0.06751307092966607,0.9244052666791114
audience,30.0,1.0,audience_30_r1,0.8374501992031872,0.8312168780420617,0.0618753780425384,0.9307178204480175
audience,20.0,0.0,audience_20_r0,0.7075697211155378,0.700457731105497,0.19263452497910305,0.7843061300031524
audience,20.0,1.0,audience_20_r1,0.7258964143426295,0.721368716502829,0.1717235395817711,0.8077202680777649
audience,10.0,0.0,audience_10_r0,0.5386454183266932,0.5244671876003416,0.36862506848425847,0.5872486118059681
audience,10.0,1.0,audience_10_r1,0.552988047808765,0.5425731854433392,0.35051907064126087,0.6075219908657934
audience,0.0,0.0,audience_0_r0,0.3346613545816733,0.2988890215037388,0.5942032345808612,0.33466757713709916
audience,0.0,1.0,audience_0_r1,0.3450199203187251,0.30970735375476866,0.5833849023298314,0.3467809194903947
audience,-5.0,0.0,audience_-5_r0,0.25258964143426293,0.21114608312433922,0.6819461729602608,0.23642135701637743
audience,-5.0,1.0,audience_-5_r1,0.25816733067729086,0.21452746622221863,0.6785647898623814,0.24020750909063648
audience,-10.0,0.0,audience_-10_r0,0.19362549800796813,0.14367113659588845,0.7494211194887116,0.16086931178393166
audience,-10.0,1.0,audience_-10_r1,0.2095617529880478,0.1489741186644591,0.744118137420141,0.16680708812500014
studio,50.0,0.0,studio_50_r0,0.8924302788844621,0.8891176464119072,0.003974609672692919,0.9955496090738509
studio,50.0,1.0,studio_50_r1,0.8940239043824701,0.8909825296503319,0.002109726434268211,0.9976377284430643
studio,40.0,0.0,studio_40_r0,0.8828685258964143,0.8783404257794071,0.014751830305193003,0.9834822996116142
studio,40.0,1.0,studio_40_r1,0.8868525896414342,0.8840431508343932,0.009049105250206857,0.9898676702338917
studio,30.0,0.0,studio_30_r0,0.8438247011952191,0.8370049044497797,0.05608735163482037,0.9371987034343882
studio,30.0,1.0,studio_30_r1,0.8310756972111554,0.8265431562514984,0.06654909983310164,0.9254846300819367
studio,20.0,0.0,studio_20_r0,0.6701195219123506,0.6524806646064768,0.24061159147812328,0.7305859614851136
studio,20.0,1.0,studio_20_r1,0.6613545816733067,0.6458979647882719,0.2471942912963282,0.7232152785871742
studio,10.0,0.0,studio_10_r0,0.44940239043824703,0.4045101897346855,0.4885820663499146,0.45293214332424736
studio,10.0,1.0,studio_10_r1,0.45258964143426295,0.41062106584908403,0.48247119023551605,0.45977452279038356
studio,0.0,0.0,studio_0_r0,0.27171314741035857,0.19799694212876917,0.6950953139558309,0.22169819610440503
studio,0.0,1.0,studio_0_r1,0.2764940239043825,0.20064911014678966,0.6924431459378104,0.2246678422971151
studio,-5.0,0.0,studio_-5_r0,0.2294820717131474,0.14153189952316106,0.751560356561439,0.1584739970130859
studio,-5.0,1.0,studio_-5_r1,0.2239043824701195,0.14780065397819958,0.7452916021064004,0.1654931536705642
studio,-10.0,0.0,studio_-10_r0,0.18804780876494023,0.1088086274252108,0.7842836286593893,0.12183358066750909
studio,-10.0,1.0,studio_-10_r1,0.17768924302788844,0.10942254960527371,0.7836697064793263,0.12252099249521253
