noise_type,snr_db,replicate,condition,accuracy,macro_f1,macro_f1_drop,macro_f1_retention
clean,,,clean,0.9816733067729083,0.979781161967058,0.0,1.0
audience,50.0,0.0,audience_50_r0,0.9768924302788845,0.9749808940053596,0.004800267961698412,0.9951006733462183
audience,40.0,0.0,audience_40_r0,0.9577689243027888,0.9565647558197504,0.023216406147307578,0.9763044983425716
audience,30.0,0.0,audience_30_r0,0.9075697211155378,0.9054392977532815,0.07434186421377653,0.9241240114634128
audience,20.0,0.0,audience_20_r0,0.8310756972111554,0.8255632879551005,0.15421787401195752,0.8425996742963072
audience,10.0,0.0,audience_10_r0,0.6852589641434262,0.6800657375321496,0.2997154244349084,0.6940996254375981
audience,0.0,0.0,audience_0_r0,0.46294820717131474,0.4614028912364958,0.5183782707305622,0.4709244361364941
audience,-5.0,0.0,audience_-5_r0,0.33705179282868525,0.3275025899896345,0.6522785719774236,0.33426095816347784
audience,-10.0,0.0,audience_-10_r0,0.24302788844621515,0.22291502068265265,0.7568661412844053,0.22751511187979695
audience,50.0,1.0,audience_50_r1,0.9792828685258964,0.9773386662178773,0.002442495749180651,0.9975071007241281
audience,40.0,1.0,audience_40_r1,0.9649402390438248,0.9632980691665334,0.016483092800524624,0.9831767608519515
audience,30.0,1.0,audience_30_r1,0.9139442231075697,0.9111118416159386,0.06866932035111939,0.9299136143695033
audience,20.0,1.0,audience_20_r1,0.8366533864541833,0.8316944439922459,0.1480867179748121,0.8488573533323444
audience,10.0,1.0,audience_10_r1,0.6916334661354582,0.688803579077197,0.290977582889861,0.7030177817404861
audience,0.0,1.0,audience_0_r1,0.450199203187251,0.45531910229956396,0.524462059667494,0.4647151016717268
audience,-5.0,1.0,audience_-5_r1,0.3386454183266932,0.3373378220890042,0.6424433398780538,0.34429915085502133
audience,-10.0,1.0,audience_-10_r1,0.2541832669322709,0.24327413617861018,0.7365070257884478,0.2482943596202654
studio,50.0,0.0,studio_50_r0,0.9784860557768924,0.9759773696513085,0.0038037923157494546,0.9961177123388321
studio,40.0,0.0,studio_40_r0,0.9713147410358566,0.9686324526497511,0.011148709317306937,0.9886212250754809
studio,30.0,0.0,studio_30_r0,0.9330677290836653,0.930991233523505,0.04878992844355301,0.9502032389093908
studio,20.0,0.0,studio_20_r0,0.7681274900398406,0.753230274458688,0.22655088750837005,0.7687739912721581
studio,10.0,0.0,studio_10_r0,0.5641434262948207,0.5250169900830931,0.4547641718839649,0.5358512803298264
studio,0.0,0.0,studio_0_r0,0.36812749003984063,0.30976885868060505,0.6700123032864529,0.31616127223623847
studio,-5.0,0.0,studio_-5_r0,0.2645418326693227,0.20489065879680438,0.7748905031702537,0.20911879790121252
studio,-10.0,0.0,studio_-10_r0,0.18167330677290836,0.1197299207093629,0.860051241257695,0.12220067639286622
studio,50.0,1.0,studio_50_r1,0.9800796812749004,0.9778556942130625,0.0019254677539954912,0.9980347981480581
studio,40.0,1.0,studio_40_r1,0.9752988047808765,0.9727054661167455,0.0070756958503125356,0.9927782895558973
studio,30.0,1.0,studio_30_r1,0.9282868525896414,0.9247717672467207,0.05500939472033728,0.943855427256942
studio,20.0,1.0,studio_20_r1,0.7705179282868526,0.7541212246841504,0.22565993728290756,0.769683327213741
studio,10.0,1.0,studio_10_r1,0.5657370517928287,0.521065710213701,0.45871545175335704,0.5318184615507234
studio,0.0,1.0,studio_0_r1,0.36892430278884464,0.3058188122640986,0.6739623497029594,0.312129712363648
studio,-5.0,1.0,studio_-5_r1,0.2725099601593626,0.21058406453379366,0.7691970974332644,0.2149296931888489
studio,-10.0,1.0,studio_-10_r1,0.2,0.14161983670894365,0.8381613252581144,0.14454231435172782
white,50.0,0.0,white_50_r0,0.9609561752988047,0.956752010843635,0.023029151123422964,0.976495617575267
white,40.0,0.0,white_40_r0,0.8725099601593626,0.8575306151429438,0.12225054682411418,0.8752266816615684
white,30.0,0.0,white_30_r0,0.7561752988047808,0.7090993995660444,0.2706817624010136,0.7237324283132988
white,20.0,0.0,white_20_r0,0.6685258964143427,0.6176106491983252,0.3621705127687328,0.6303557091854869
white,10.0,0.0,white_10_r0,0.5442231075697211,0.48299115364608247,0.49679000832097553,0.4929581955591033
white,0.0,0.0,white_0_r0,0.3187250996015936,0.20365584078855148,0.7761253211785065,0.20785849809531115
white,-5.0,0.0,white_-5_r0,0.21274900398406374,0.11381108753601825,0.8659700744310398,0.1161597017312778
white,-10.0,0.0,white_-10_r0,0.1649402390438247,0.0755724324703591,0.904208729496699,0.07713195089262186
white,50.0,1.0,white_50_r1,0.9625498007968127,0.9588446568360981,0.020936505130959904,0.9786314475684277
white,40.0,1.0,white_40_r1,0.8709163346613545,0.855537000777295,0.124244161189763,0.8731919269193499
white,30.0,1.0,white_30_r1,0.7561752988047808,0.7127440853288435,0.2670370766382145,0.7274523260866769
white,20.0,1.0,white_20_r1,0.6661354581673307,0.6113199553377388,0.36846120662931925,0.6239352000914388
white,10.0,1.0,white_10_r1,0.5386454183266932,0.4774418978341455,0.5023392641329125,0.4872944248852561
white,0.0,1.0,white_0_r1,0.3179282868525896,0.20713855808917767,0.7726426038778803,0.2114130850131022
white,-5.0,1.0,white_-5_r1,0.2151394422310757,0.11414234918759093,0.8656388127794671,0.11649779932330298
white,-10.0,1.0,white_-10_r1,0.16334661354581673,0.0731554691755278,0.9066256927915302,0.07466511096075495
