noise_type,snr_db,replicate,condition,accuracy,macro_f1,macro_f1_drop,macro_f1_retention
clean,,,clean,0.9808764940239044,0.9788349733996391,0.0,1.0
white,50.0,0.0,white_50_r0,0.9091633466135458,0.9023372070543991,0.07649776634523997,0.9218481476202757
white,50.0,1.0,white_50_r1,0.9091633466135458,0.9022881648812389,0.07654680851840023,0.9217980450243397
white,40.0,0.0,white_40_r0,0.6366533864541832,0.5862191733053851,0.392615800094254,0.5988947976279995
white,40.0,1.0,white_40_r1,0.6302788844621514,0.5804600310556217,0.3983749423440174,0.5930111273400847
white,30.0,0.0,white_30_r0,0.36892430278884464,0.27259940085201295,0.7062355725476261,0.27849372801345135
white,30.0,1.0,white_30_r1,0.3745019920318725,0.27854763077441264,0.7002873426252265,0.28457057455453943
white,20.0,0.0,white_20_r0,0.21115537848605578,0.10286369138615098,0.8759712820134882,0.10508787914360081
white,20.0,1.0,white_20_r1,0.2095617529880478,0.10037294611294417,0.878462027286695,0.1025432773047882
white,10.0,0.0,white_10_r0,0.16254980079681275,0.06830119992569762,0.9105337734739415,0.06977805430110187
white,10.0,1.0,white_10_r1,0.1657370517928287,0.06922892398828205,0.909606049411357,0.07072583823587722
white,0.0,0.0,white_0_r0,0.100398406374502,0.026856275417068476,0.9519786979825706,0.027436979824895964
white,0.0,1.0,white_0_r1,0.09880478087649402,0.023327464429931236,0.9555075089697078,0.023831866518736543
white,-5.0,0.0,white_-5_r0,0.10119521912350597,0.031424450918733714,0.9474105224809054,0.03210393148253779
white,-5.0,1.0,white_-5_r1,0.100398406374502,0.032760803919066786,0.9460741694805723,0.03346918000414682
white,-10.0,0.0,white_-10_r0,0.08844621513944223,0.013543191800878478,0.9652917815987606,0.013836031781579036
white,-10.0,1.0,white_-10_r1,0.08844621513944223,0.013543191800878478,0.9652917815987606,0.013836031781579036
audience,50.0,0.0,audience_50_r0,0.9729083665338646,0.9712268407455557,0.007608132654083444,0.9922273591965566
audience,50.0,1.0,audience_50_r1,0.9776892430278884,0.9757620137502229,0.0030729596494162292,0.9968605947550654
audience,40.0,0.0,audience_40_r0,0.9426294820717132,0.939889857182013,0.038945116217626086,0.9602127863470551
audience,40.0,1.0,audience_40_r1,0.9537848605577689,0.9526440412969895,0.026190932102649556,0.9732427499891176
audience,30.0,0.0,audience_30_r0,0.8350597609561753,0.8280437969410256,0.1507911764586135,0.8459483155420026
audience,30.0,1.0,audience_30_r1,0.8549800796812749,0.8509724250316597,0.1278625483679794,0.8693727218144915
audience,20.0,0.0,audience_20_r0,0.6653386454183267,0.6475001451029841,0.33133482829665495,0.661500827717792
audience,20.0,1.0,audience_20_r1,0.6916334661354582,0.6831911240893951,0.295643849310244,0.6979635410007582
audience,10.0,0.0,audience_10_r0,0.49163346613545816,0.4675705590820735,0.5112644143175655,0.4776806834538529
audience,10.0,1.0,audience_10_r1,0.5091633466135458,0.4943154484512638,0.4845195249483753,0.5050038687670025
audience,0.0,0.0,audience_0_r0,0.3354581673306773,0.3115159675880114,0.6673190058116276,0.31825177486871997
audience,0.0,1.0,audience_0_r1,0.349003984063745,0.3292777832448451,0.6495571901547941,0.3363976484219955
audience,-5.0,0.0,audience_-5_r0,0.24541832669322708,0.24040430896179346,0.7384306644378457,0.2456024922432365
audience,-5.0,1.0,audience_-5_r1,0.24621513944223108,0.25716712402785663,0.7216678493717825,0.2627277641446311
audience,-10.0,0.0,audience_-10_r0,0.1362549800796813,0.10728741334803205,0.871547560051607,0.10960725379009185
audience,-10.0,1.0,audience_-10_r1,0.13227091633466134,0.11587206118051292,0.8629629122191261,0.11837752463836888
studio,50.0,0.0,studio_50_r0,0.9721115537848606,0.9698132905296216,0.009021682870017478,0.990783244249351
studio,50.0,1.0,studio_50_r1,0.9721115537848606,0.9704560199910897,0.008378953408549439,0.9914398712385112
studio,40.0,0.0,studio_40_r0,0.9322709163346613,0.926610080989906,0.05222489240973305,0.9466458659232942
studio,40.0,1.0,studio_40_r1,0.9402390438247012,0.9355444692121356,0.043290504187503465,0.9557734394827055
studio,30.0,0.0,studio_30_r0,0.8183266932270916,0.8094662726434612,0.16936870075617794,0.8269690955484199
studio,30.0,1.0,studio_30_r1,0.8167330677290837,0.8080821775159003,0.17075279588373882,0.8255550725872728
studio,20.0,0.0,studio_20_r0,0.6294820717131474,0.6179476103130682,0.3608873630865709,0.6313092881906789
studio,20.0,1.0,studio_20_r1,0.6119521912350597,0.6012373613033689,0.3775976120962702,0.614237718964191
studio,10.0,0.0,studio_10_r0,0.4199203187250996,0.3996429945642874,0.5791919788353517,0.40828434355616455
studio,10.0,1.0,studio_10_r1,0.4087649402390438,0.3906469366941305,0.5881880367055086,0.39909376688631765
studio,0.0,0.0,studio_0_r0,0.250996015936255,0.1827588824855858,0.7960760909140533,0.18671061767525232
studio,0.0,1.0,studio_0_r1,0.23107569721115537,0.17473744508346134,0.8040975283161778,0.17851573537117527
studio,-5.0,0.0,studio_-5_r0,0.1147410358565737,0.05207344527531268,0.9267615281243264,0.05319941225072279
studio,-5.0,1.0,studio_-5_r1,0.099601593625498,0.04672584932646557,0.9321091240731735,0.04773618699399324
studio,-10.0,0.0,studio_-10_r0,0.08844621513944223,0.013543191800878478,0.9652917815987606,0.013836031781579036
studio,-10.0,1.0,studio_-10_r1,0.0900398406374502,0.016227613092481087,0.962607360307158,0.016578497431615238
