path,label,family,duration_s,sample_rate,is_plain,is_phrase
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-ff-N-T30d.wav,tuba,brass,1.4419,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N.wav,tuba,brass,3.2411,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,tuba,brass,3.4681,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-ff-N-T19u.wav,tuba,brass,1.5364,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u.wav,tuba,brass,3.8775,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,tuba,brass,3.1665,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-ff-N-N.wav,tuba,brass,1.5246,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-mf-N-T14u.wav,tuba,brass,4.2028,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,tuba,brass,2.8893,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A1-ff-N-T19d.wav,tuba,brass,1.3161,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u.wav,tuba,brass,3.5529,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,tuba,brass,3.0821,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-ff-N-N.wav,tuba,brass,1.4003,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u.wav,tuba,brass,3.6494,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,tuba,brass,2.7455,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-ff-N-N.wav,tuba,brass,1.4345,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-mf-N-N.wav,tuba,brass,3.7813,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,tuba,brass,2.6942,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-ff-N-N.wav,tuba,brass,1.5114,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u.wav,tuba,brass,3.266,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,tuba,brass,2.8179,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-B2-ff-N-N.wav,tuba,brass,1.4734,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-B2-mf-N-T17u.wav,tuba,brass,3.741,44100,1,0
Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,tuba,brass,2.933,44100,1,0
