window_path,label,note,split,source_path,start_time,content_s,pre_norm_rms,post_norm_rms
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-ff-N-T30d_w000.wav,tuba,A#1,train,Brass/Bass_Tuba/ordinario/BTb-ord-A#1-ff-N-T30d.wav,0.0,1.3003,0.0365,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N_w000.wav,tuba,A#1,train,Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N.wav,0.0,3.0,0.00872,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N_w000.wav,tuba,A#1,train,Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,0.0,3.0,0.00298,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-ff-N-T19u_w000.wav,tuba,A#2,test,Brass/Bass_Tuba/ordinario/BTb-ord-A#2-ff-N-T19u.wav,0.0,1.2771,0.06498,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u_w000.wav,tuba,A#2,test,Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u.wav,0.0,3.0,0.0135,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N_w000.wav,tuba,A#2,test,Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,0.0,3.0,0.00487,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-ff-N-N_w000.wav,tuba,A#3,train,Brass/Bass_Tuba/ordinario/BTb-ord-A#3-ff-N-N.wav,0.0,1.2539,0.09915,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-mf-N-T14u_w000.wav,tuba,A#3,train,Brass/Bass_Tuba/ordinario/BTb-ord-A#3-mf-N-T14u.wav,0.0,3.0,0.02456,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d_w000.wav,tuba,A#3,train,Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,0.0,2.8096,0.00502,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A1-ff-N-T19d_w000.wav,tuba,A1,test,Brass/Bass_Tuba/ordinario/BTb-ord-A1-ff-N-T19d.wav,0.0,1.161,0.02955,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u_w000.wav,tuba,A1,test,Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u.wav,0.0,3.0,0.00549,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d_w000.wav,tuba,A1,test,Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,0.0,3.0,0.00141,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A2-ff-N-N_w000.wav,tuba,A2,val,Brass/Bass_Tuba/ordinario/BTb-ord-A2-ff-N-N.wav,0.0,1.1146,0.07156,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u_w000.wav,tuba,A2,val,Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u.wav,0.0,3.0,0.01457,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u_w000.wav,tuba,A2,val,Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,0.0,2.7455,0.00356,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A3-ff-N-N_w000.wav,tuba,A3,train,Brass/Bass_Tuba/ordinario/BTb-ord-A3-ff-N-N.wav,0.0,1.2074,0.09763,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A3-mf-N-N_w000.wav,tuba,A3,train,Brass/Bass_Tuba/ordinario/BTb-ord-A3-mf-N-N.wav,0.0,3.0,0.01858,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N_w000.wav,tuba,A3,train,Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,0.0,2.6471,0.00613,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-B1-ff-N-N_w000.wav,tuba,B1,train,Brass/Bass_Tuba/ordinario/BTb-ord-B1-ff-N-N.wav,0.0,1.3468,0.03299,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u_w000.wav,tuba,B1,train,Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u.wav,0.0,3.0,0.00952,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N_w000.wav,tuba,B1,train,Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,0.0,2.74,0.00363,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-B2-ff-N-N_w000.wav,tuba,B2,train,Brass/Bass_Tuba/ordinario/BTb-ord-B2-ff-N-N.wav,0.0,1.2307,0.06642,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-B2-mf-N-T17u_w000.wav,tuba,B2,train,Brass/Bass_Tuba/ordinario/BTb-ord-B2-mf-N-T17u.wav,0.0,3.0,0.01231,0.1
work/windows/Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d_w000.wav,tuba,B2,train,Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,0.0,2.8561,0.00388,0.1
